"titlu_proiect","nume_beneficiar","nume_operatiune","fonduri_ue","buget_national","contributie_beneficiar","Cheltuieli neeligibile","total_valoare_proiect"
"INTERCONECTAREA                   INFRASTRUCTURII AGEN?IILOR    DE    URGENTA    INSTITUITE    LA NIVELUL      MUNICIPIILOR      (ALTELE      DEC�T RE?EDIN?ELE DE JUDE?) CU INFRASTRUCTURA SISTEMULUI NATIONAL UNIC PENTRU APELURI DE URGENTA","Serviciul de Telecomunica?ii Speciale- UM 0572 Bucure?ti","DMI  3.2  Dezvoltarea  ?i   cre?terea  eficien?ei serviciilor publice  electronice  moderne  3.2.2 Implementarea   de    sisteme    TIC   �n   scopul cre?terii          interoperabilit??ii          sistemelor informatice",7232324,1628646,0,2221584,11082554
"Modernizarea activit??ilor de produc?ie a �ntreprinderii SC CROMSTEEL INDUSTRIES SA prin achizi?ionarea de echipamente ?i instala?ii �nalt tehnologizate, know-how   de   �nalt?   performan??   ?i   echipamente   pentru protec?ia mediului ?i tratarea apelor uzate","SC CROMSTEEL INDUSTRIES SA","Axa  Prioritar?   1/  DMI   1.1.   1.   b)  Investi?ii pentru �ntreprinderi mari",7183706,1169440,8353147,4272263,20978556
"INFRASTRUCTUR?    GIS    (Geographic    Information System)         PENTRU         INTEROPERABILITATEA AGENTELOR DE URGEN?? EMTERCONECTATE LA SISTEMUL NA?IONAL UNIC PENTRU APELURI DE URGEN?? (SNUAU).","Serviciul de Telecomunica?ii Speciale- UM 0572 Bucure?ti","DMI  3.2  Dezvoltarea  ?i   cre?terea  eficien?ei serviciilor publice  electronice  moderne  3.2.2 Implementarea   de    sisteme    TIC   �n   scopul cre?terii          interoperabilit??ii          sistemelor informatice",7039725,1585275,0,1724750,10349750
"Dezvoltarea infrastructurii de cercetare translationala in patologie moleculara si imagistica","Spitalul Universitar de Urgenta Bucure?ti","Axa   Prioritar?   2/   DMI   2.2   Investi?ii   �n infrastructura de CDI ?i dezvoltarea capacit??ii administrative       /       02.2.1        Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare)",6999860,2126424,0,1733994,10860278
"Amenajare    hidroenergetic?    pentru    Centrala    Hidro-Electric? de Mic? Putere Brodina 2","SC ELECTROMAGNETICA SA","Axa Prioritar? 4/ DMI 4.2. RES",6875101,937514,7812614,7253511,22878740
"Dezvoltare sector prelucr?ri mecanice de inalta precizie SIRFIT","SC SIRFIT SRL","Axa  Prioritar?   1/  DMI   1.1.   1.   b)  Investi?ii pentru �ntreprinderi mari",6287473,1023542,7311015,12099161,26721191
"Centru de cercetare-dezvoltare �n domeniul factorilor de risc fizico-chimici ?i microbiologici din mediu - ap?, aer, aliment, cu implica?ii �n protec?ia mediului ?i siguran?a ?i securitatea alimentului","Institutul de S?n?tate Public? Ia?i","Axa   Prioritar?   2/   DMI   2.2   Investi?ii   �n infrastructura de CDI ?i dezvoltarea capacit??ii administrative       /       02.2.1        Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare)",6078007,1846383,0,1381686,9306076
"Laborator    de    Testare,    Cercetare    si    Certificare    a Motoarelor   cu   Ardere   Interna   ce   Func?ioneaz?   cu Biocombustibili","UNIVERSITATEA TEHNICA DIN CLUJ- N?POCA","Axa   Prioritar?   2/   DMI   2.2   Investi?ii   �n infrastructura de CDI ?i dezvoltarea capacit??ii administrative       /       02.2.1        Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare)",5851295,1777512,0,1303097,8931904
"Centru est european de cercetare aplicativa integrata","MB TELECOM LTD S.RL.Otopeni","Axa Prioritar? 2/ DMI 2.3/ O 2.3.2 Dezvoltarea infrastructurii   de   CD   a  �ntreprinderilor,   cu crearea de noi locuri de munc? pentru CD",5842620,1196681,7039301,13165767,27244369
"CENTRU    DE    CERCETARE    DE    LABORATOR, CLINICA     SI     PARACLINICA     IN     DOMENIUL MEDICINEI RESPIRATORII PEDIATRICE","UNIVERSIT. LUCIAN BLAGA SIBIU","Axa   Prioritar?   2/   DMI   2.2   Investi?ii   �n infrastructura de CDI ?i dezvoltarea capacit??ii administrative       /       02.2.1        Dezvoltarea infrastructurii C-D existente ?i crearea de noi infrastructuri    C-D    (laboratoare,    centre    de cercetare)",5821443,1768444,0,1390716,8980603
"Cre?terea   capacit??ii   de   livrare   ciment   la   sucursala BICAZ - Fabrica TASCA","SC C�RPATCEMENT HOLDING SA","Axa  Prioritar?   1/  DMI   1.1.   1.   b)  Investi?ii pentru �ntreprinderi mari",5468141,890162,6358303,3855494,16572100
"Asigurarea     sustenabilit??ii     energetice     din     surse alternative, a urm?toarele institu?ii publice din Municipiul Alba Iulia:   Colegiul   Tehnic  �Dorin Pavel"",  C?minul pentru   Persoane    V�rstnice,    Centrul    de   Zi    pentru V�rstnici, Direc?ia Programe din subordinea Consiliului Local al Municipiului Alba Iulia","CONSILIUL LOCAL ALBA IULIA","Axa Prioritar? 4/ DMI 4.2. RES",5443354,742275,126237,2556686,8868552
"Extinderea   capacit??ilor   de   fabrica?ie    si   asamblare aerostructuri             destinate            avia?iei            civile","SC AEROSTAR SA","Axa  Prioritar?   1/  DMI   1.1.   1.   b)  Investi?ii pentru �ntreprinderi mari",5107110,831390,5938500,8996852,20873852
"SINTEZA    ?I    STUDIUL    METALOSILOXANILOR POLIMERICI   -   NOI   MATERIALE   DE   INTERES PENTRU CATALIZA SI NANOSTUNTE","INSTITUTUL DE CHIMIE MACROMOLECULARA ""PETRU PONT IA?I","Axa Prioritar? 2/ O 2.1.2: Proiecte C-D de inalt nivel ?tiin?ific la care vor participa speciali?ti din str?in?tate",4980000,1020000,0,489634,6489634
"CREAREA INFRASTRUCTURE NECESARE PENTRU UTILIZAREA      BANDEI     NFC      (NEAR     FJELD COMMUNICATION)        PRIN       DESIGN-UL        ?I DEZVOLTAREA          COMPONENTELOR          NFC INOVATIVE ?I EFICIENTE DIN PUNCT DE VEDERE ECONOMIC","S.C. MICROELECTRONICA SA.Bucuresti","Axa Prioritar? 2/ O 2.1.2: Proiecte C-D de inalt nivel ?tiin?ific la care vor participa speciali?ti din str?in?tate",4980000,1020000,4000000,1200000,11200000
"CENTRU     DE     CERCETARE     EM     DOMENIUL MATERIALELOR SI TEHNOLOGIILOR AVANSATE","UNIVERSITATEA ALEXANDRU IOAN CUZA Ia?i","Axa Prioritar? 2/ O 2.1.2: Proiecte C-D de inalt nivel ?tiin?ific la care vor participa speciali?ti din str?in?tate",4980000,1020000,0,2827388,8827388
"TEHNOLOGII   SPFM   �N   REAC?II   IONICE   ALE SOLU?ELOR REZIDUALE �N SOL SI REALIZAREA DE NANOCOMPOZITE BAZATE PE NANOTUBURI DE CARBON PENTRU APLICATE DE ENERGIE SI MEDIU","UNIVERSITATEA POLITEHNICA DEN BUCURE?TI","Axa Prioritar? 2/ O 2.1.2: Proiecte C-D de inalt nivel ?tiin?ific la care vor participa speciali?ti din str?in?tate",4980000,1020000,0,611800,6611800
"EMFRASTRUCTURA        CIBERNETICA        PENTRU STUDE GEODEMAMICE RELATIONATE CU ZONA SEISMOGENA VRANCEA","EMSTITUTUL DE GEODEMAMICA Bucure?ti","Axa Prioritar? 2/ O 2.1.2: Proiecte C-D de inalt nivel ?tiin?ific la care vor participa speciali?ti din str?in?tate",4980000,1020000,0,609140,6609140
"CELULARA   SI   MEDICEMA   REGENERATIVA   PE BAZA  DE  CELULE  STEM  SI  MODULATORI  DE","DE CERCETARE-DEZVOLTARE PENTRU","Axa Prioritar? 2/ O 2.1.2: Proiecte C-D de inalt nivel ?tiin?ific la care vor participa speciali?ti din str?in?tate",4980000,1020000,0,267677,6267677
"PROFIL    GENIC    AL    CANCERELOR    BRONHO-PULMONARE PRIMITIVE CU CELULE NON-MICI SI INVAZIA GANGLIONILOR MEDIASTINALI","INSTITUTUTL CLINIC DE BOLI DIGESTIVE SI TRANSPLANT HEPATIC FUNDENI","Axa Prioritar? 2/ O 2.1.2: Proiecte C-D de inalt nivel ?tiin?ific la care vor participa speciali?ti din str?in?tate",4980000,1020000,0,722914,6722914
"METODOLOGII     MODERNE     DE      TIP     HJGH-THROUGHPUT        PENTRU        OB?INEREA        SI CARACTERIZAREA DE NOI FORME SOLIDE ALE COMPU?ILOR FARMACEUTICI","INSTITUTUL NATIONAL DE CERCETARE- DEZVOLTARE PENTRU TEHNOLOGII IZOTOPICE SI MOLECULARE Cluj Napoca","Axa Prioritar? 2/ O 2.1.2: Proiecte C-D de inalt nivel ?tiin?ific la care vor participa speciali?ti din str?in?tate",4980000,1020000,0,604960,6604960
"PLANTELE LIBERIENE-RESURSE REGENERABILE STRATEGICE PENTRU ECONOMIA EUROPEANA","UNIVERSITATEA AUREL VLAICU-INSTITUTUL DE CERCETARE- DEZVOLTARE-INOVARE IN ?TIIN?E TEHNICE SI NATURALE Arad","Axa Prioritar? 2/ O 2.1.2: Proiecte C-D de inalt nivel ?tiin?ific la care vor participa speciali?ti din str?in?tate",4979998,1020000,0,842917,6842915
"ADAPTAREA  RAPITEI DE  TOAMNA  (BRASSICA NAPUS  L  ) LA CONDI?II DE  STRES  BIOTIC  SI ABIOTIC,         PRECUM         SI         OPTIMIZAREA","STENTE AGRICOLE SI MEDICEMA VETERLNARA IONIONESCUDELA","Axa Prioritar? 2/ O 2.1.2: Proiecte C-D de inalt nivel ?tiin?ific la care vor participa speciali?ti din str?in?tate",4979383,1019874,0,855274,6854531
"NUCLEU DE �NALTA COMPETENTA ?TIIN?IFICA IN BIOTEHNOLOGE APICOLE IN ROM�NIA","UNIVERSITATEA DE ?TIIN?E AGRICOLE SI MEDICINA VETERINARA CLUJ-NAPOCA","Axa Prioritar? 2/ O 2.1.2: Proiecte C-D de inalt nivel ?tiin?ific la care vor participa speciali?ti din str?in?tate",4975020,1018980,0,684960,6678960
"SERVICELOR,   BAZAT   PE   ONTOLOGE   PENTRU AGREGAREA                CUNOS TENTELOR                SI","UNIVERSITATEA POLITEHNICA DEM BUCURE?TI","Axa Prioritar? 2/ O 2.1.2: Proiecte C-D de inalt nivel ?tiin?ific la care vor participa speciali?ti din str?in?tate",4933952,1010569,0,86932,6031453
"IMPACTUL       CLINIC       SI       ECONOMIC       AL IDENTIFIC?RII       PROFILELOR       MOLECULARE TRANSCRIPTOMICE SI PROTEOMICE IN TERAPIA NEOADJUVANTA A CANCERULUI DE SAN TRIPLU NEGATIV","UNIVERSITATEA DE MEDICINA SI FARMACIE IULIU HATIEGANU Cluj Napoca","Axa Prioritar? 2/ O 2.1.2: Proiecte C-D de inalt nivel ?tiin?ific la care vor participa speciali?ti din str?in?tate",4910559,1005777,0,1292159,7208495
"FABRICA     MICROFLUTDICA     PENTRU     AUTO-ASAMBLAREA ASISTATA A NANOSISTEMELOR","DE CERCETARE SI DEZVOLTARE PENTRU MICROTEHNOLOGIEIMT","Axa Prioritar? 2/ O 2.1.2: Proiecte C-D de inalt nivel ?tiin?ific la care vor participa speciali?ti din str?in?tate",4897000,1003000,0,1171000,7071000
"ANALIZA OPORTUNIT??E.OR DE ADAPTARE A ECOSISTEMELOR    VITICOLE    ROM�NE?TI    LA NOUL CONTEXT COMPETITIV ?I DE MEDIU","UNIVERSITATEA DE STENTE AGRICOLE SI MEDICEMA VETERLNARA IONIONESCUDELA BRAD Ia?i","Axa Prioritar? 2/ O 2.1.2: Proiecte C-D de inalt nivel ?tiin?ific la care vor participa speciali?ti din str?in?tate",4867723,997004,0,587131,6451858
"Realizarea  unei   instala?ii   noi   pt.   impregnarea  h�rtiei decorative pt. melaminarea pl?cilor de pal","SC EGGER SRL","Axa  Prioritar?   1/  DMI   1.1.   1.   b)  Investi?ii pentru �ntreprinderi mari",4855950,790504,5646454,4380225,15673133
"METODE       AVANSATE       DE       SINTEZA       A MATERIALELOR HIBRIDE","INSTITUTUL NATIONAL DE CERCETARE- DEZVOLTARE PENTRU TEHNOLOGII IZOTOPICE SI MOLECULARE Cluj Napoca","Axa Prioritar? 2/ O 2.1.2: Proiecte C-D de inalt nivel ?tiin?ific la care vor participa speciali?ti din str?in?tate",4800909,983319,0,646320,6430548
"Linie   automat?   de   formare   capace   pentru   recipien?i industriali metalici","SC INDUSTRIAL MONTAJ GRUP SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A 1-Sprijin   financiar   cu   valoare   cuprins?   �ntre 920.001   lei   ?i   5.560.000  lei   acordat  pentru investi?ii pentru IMM",4781600,778400,5243540,2278142,13081682
"Dezvoltarea capacit??ii tehnice ?i adaptarea la cerin?ele pie?ei a SC CENTO CONSTRUCT SRL ZAL?U","SC CENTO CONSTRUCT SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A 1-Sprijin   financiar   cu   valoare   cuprins?   �ntre 920.001   lei   ?i   5.560.000  lei   acordat  pentru investi?ii pentru IMM",4781600,778400,2638760,1800526,9999286
"O Ferestr? spre Competitivitate","SC PLAST TECHNIK SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A 1-Sprijin   financiar   cu   valoare   cuprins?   �ntre 920.001   lei   ?i   5.560.000  lei   acordat  pentru investi?ii pentru IMM",4780634,778243,4459102,1775025,11793004
"Modernizare   hal?   confec?ii   prin   achizi?ie   utilaje   ?i informatizare specific?","CLASS TEX S.RL.","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A 1-Sprijin   financiar   cu   valoare   cuprins?   �ntre 920.001   lei   ?i   5.560.000  lei   acordat  pentru investi?ii pentru IMM",4772876,776980,3699904,1973884,11223643
"CERCET?RI   PRIVIND   SEMNIFICA?IA   RELA?IEI DINTRE R?SPUNSUL GENOMIC, METABOLISMUL FENOLPROPANILOR       SI       FOTOSINTEZA       IN CONDI?II      DE      STRES      ABIOTIC      PENTRU OPTIMIZAREA POTEN?IALULUI BIOSINTETIC LA SOIURI DE ZMEUR SI MUR","UNIVERSITATEA DE ?TIIN?E AGRICOLE SI MEDICINA VETERINARA ﾄ IONIONESCUDELA BRAD"" Ia?i","Axa Prioritar? 2/ O 2.1.2: Proiecte C-D de inalt nivel ?tiin?ific la care vor participa speciali?ti din str?in?tate",4756074,974136,0,355895,6086105
"Modernizarea ?i retehnologizarea procesului de produc?ie a componentelor auto la SC Matec-CNC Technik SRL","SC MATEC-CNC TECHNIK SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A 1-Sprijin   financiar   cu   valoare   cuprins?   �ntre 920.001   lei   ?i   5.560.000  lei   acordat  pentru investi?ii pentru IMM",4754077,773919,2376743,1970649,9875388
"SISTEM DECIZIONAL MULTICRITERIAL PENTRU REMEDIEREA    SITURILOR    CONTAMEMATE    CU POLUAN?I TOXICI SI PERSISTEN?I DEN MARE.E ZONE EMDUSTRIALE","UNIVERSITATEA POLITEHNICA DEN BUCURE?TI","Axa Prioritar? 2/ O 2.1.2: Proiecte C-D de inalt nivel ?tiin?ific la care vor participa speciali?ti din str?in?tate",4752231,973349,0,210818,5936398
"NOI              MATERIALE              DPN              CLASA ALUMINOSILICATILOR    MEZOPORO?I    PENTRU ELIBERARE     CONTROLAT?     DE     SUBSTAN?E BIOLOGIC ACTIVE","UNIVERSITATEA POLITEHNICA BUCURE?TI","Axa Prioritar? 2/ O 2.1.2: Proiecte C-D de inalt nivel ?tiin?ific la care vor participa speciali?ti din str?in?tate",4723976,967561,0,430604,6122141
"Centru de cercetare-dezvoltare Polipharma Industries","S.C. POLIPHARMA INDUSTRIES S.R.L. Sibiu","Axa Prioritar? 2/ DMI 2.3/ O 2.3.2 Dezvoltarea infrastructurii   de   CD   a  �ntreprinderilor,   cu crearea de noi locuri de munc? pentru CD",4688641,960324,2420985,1652188,9722138
"Dezvoltarea   produc?iei   de   utilaj    petrolier,   cre?terea capacit??ii de certificare a gamei de produse conform standardelor   API,   urm?rind   cre?terea   competitivit??ii produselor pe pia?a intern? ?i �n special pe pie?ele externe","SC PETAL SA","Axa  Prioritar?   1/  DMI   1.1.   1.   b)  Investi?ii pentru �ntreprinderi mari",4640847,755487,5396334,2865480,13658148
"TISULARE    PENTRU    CANCER    PN    ROM�NIA. CERCETARE    DE    INALT    NIVEL    ORIENTATA","CERCETARE DEZVOLTARE EM","Axa Prioritar? 2/ O 2.1.2: Proiecte C-D de inalt nivel ?tiin?ific la care vor participa speciali?ti din str?in?tate",4496069,920882,0,686660,6103610
"IZOTOPI IN SLUJBA ENERGETICII HIDROGENULUI -    C?TRE    O    �N?ELEGERE    A    SPECIFICIT??II REAC?IILOR       IMPLICATE       IN       SISTEMELE INTEGRATE BAZATE PE PILE DE COMBUSTIBIL CU HIDROGEN UTILIZ�ND ANALIZA IZOTOPICA STA?IONAR-TRANZIENTA DE TIP CINETIC -","INSTITUTUL NATIONAL DE CERCETARE- DEZVOLTARE PENTRU TEHNOLOGII CRIOGENICE SI IZOTOPICE RAMNICU V�LCEA","Axa Prioritar? 2/ O 2.1.2: Proiecte C-D de inalt nivel ?tiin?ific la care vor participa speciali?ti din str?in?tate",4470347,915613,0,435420,5821380
"SISTEM        INTEGRAT        EMOVATIV        PENTRU CONSTRUC?II:           STRUCTURA          METALICA ASAMBLATA DEM PROFILE U?OARE ZINCATE SI ANVELOPA DEM PANOURI TERMOIZOLANTE DEM SPUMA POLIURETANICA","S.C. PLASTSISTEM SA Magherus","Axa     Prioritar?     2/     DMI     2.3     Accesul �ntreprinderilor    la    activit??i    de    cercetare-dezvoltare  ?i  inovare /  O 2.3.3  Promovarea inov?rii in cadrul intreprinderilor",4455897,912654,5398650,796598,11563798
"Implementarea  unei   solu?ii  de  e-guvernare  la  nivelul Consiliului  Jude?ean Ilfov si  a Consiliilor Locale din jude?ul   Ilfov   pentru   eficientizarea   serviciilor   publice oferite cet??enilor si mediului de afaceri","Consiliul Jude?ean Ilfov","Axa   Prioritar?   3/   DMI   3.2   Dezvoltarea   ?i cre?terea      eficien?ei       serviciilor      publice electronice       moderne       3.2.1       Sus?inerea implement?rii   de   solu?ii   de   e-guvernare   ?i asigurarea conexiunii la broadband, acolo unde este necesar",4439310,999688,111000,1054502,6604500
"Achizi?ie linie tehnologic? pentru producerea de etichete �n rol? pe suport de material plastic","SC NO VIS CASA DE EDITURA SI TIPOGRAFIA SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A 1-Sprijin   financiar   cu   valoare   cuprins?   �ntre 920.001   lei   ?i   5.560.000  lei   acordat  pentru investi?ii pentru IMM",4410966,718064,4348114,3783791,13260936
"SISTEM ELECTRONIC APLICATIV INTEGRAT DE EDUCA?IE AL UNIVERSITATE BABES-BOLYAI","Universitatea Babes-Bolyai","Axa   Prioritar?   3/   DMI   3.2   Dezvoltarea   ?i cre?terea      eficien?ei       serviciilor      publice electronice       moderne       3.2.3       Sus?inerea implement?rii de aplica?ii de e-Learning",4398198,990430,109972,1044734,6543334
"MODERNIZAREA ?I EXTINDEREA UNEI UNIT??I DE         PRODUC?IE         EXISTENTE         PENTRU PRODUCEREA DE MOBIL?","SC ROMBEL SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A 1-Sprijin   financiar   cu   valoare   cuprins?   �ntre 920.001   lei   ?i   5.560.000  lei   acordat  pentru investi?ii pentru IMM",4387017,714166,3400788,1659657,10161628
