ID,name_des_begunstigten,bezeichnung_des_vorhabens,jahr_der_bewilligung,jahr_der_abschliessenden_restzahlung, gewahrte_betrage, bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage ,
456,"""Haus der Küchen"" Waldschmidt","Ausbau und Stärkung der wirtschaftlichen Eigenkraft des
Unternehmens durch zielgruppenorientiertes Marketing",2008,,"4,800.00",,
808,"*NOKA"" Holzverarbeitungs GmbH","Neubau einer Lagerhalle, Maschinen- und Softwareinvestitionen",2008,,"32,700.00",,
1224,1. Motorsportclub Wolfsburg e.V.,"Yachthafen Wolfsburg - Förderung des Wassersporttourismus
durch Qualitätssteigerung des Hafens und des Hafengeländes",2009,,"69,000.00",,
1,A. Gerdes GmbH & Co. KG,Ausbau der Marktposition des Unternehmens,2008,2009,,"4,000.00",
2,A. Obenauf GmbH & Co. KG,Einwerbung von Eigenkapital ggf. ergänzendem Fremdkapital,2008,,"10,000.00",,   
3,ABG Allgemeine Baumaschinen- Gesellschaft mbH,"Grunderwerb, bauliche Investitionen, Maschinenerwerb",2008,,"3,031,200.00",,
4,ABR Metallguß GmbH,"Verbesserung der Marktposition, Marketing und Werbung für
Neukundengewinnung",2008,2009,,"4,400.00",
5,Abwasserentsorgung Helmstedt,Umstellung von Misch- auf Trennkanalisation in Helmstedt,2009,,"1,832,600.00",,
6,Abwasserverband Raum Katlenburg,"Ausbau der Kläranlage Elvershausen Erweiterung der Stickstoff-
und Phosphatelimination",2008,2009,,"250,000.00",
7,ACS International GmbH,Entwicklung eines Marketing-und Vertriebskonzeptes,2008,2009,,"3,790.00",
8,ACS-Vertrieb GmbH,"Strategische und umfassende Beratung zu den Designprozessen
im Status der Produktentwicklung",2008,2008,,"5,600.00",
898,Rollwood Holztechnik GmbH,"Begletung und konzeptionelle Beratung zur Planung und
Durchführung der Unternehmensübergabe",2008,2008,,"4,000.00"
899,Rommerskirchen GmbH,Erweiterung des Produkt- und Dienstleistungsportfolios,2008,,"10,000.00",
900,Rossmayer Consulting,Erstellung eines Marketingkonzeptes,2008,,"6,000.00",
901,RST GmbH II,Einführung QM System,2008,,"4,733.36",
902,Rüdiger Scholz Werkzeug- und Formenbau GmbH,Beschaffung einer Universalfräsmaschine,2007,,"38,250.00",
903,Rudolf Hoppe GmbH,"Erstellung um Umsetzung einer neuen Marketingkonzeption zur
Verkaufs- & Imageförderung",2008,,"10,000.00",
904,Rudolf Kochanowski Büroorganisation,Strategieentwicklung für den Bereich Vertrieb,2008,2009,,"10,000.00"
907,S-A-M Zimmerei u. Baudenkmalpflege GmbH,Erweiterung einer Betriebsstätte,2008,,"43,600.00",
905,Sägewerk Kurth GmbH & Co. KG,Erweiterung der Betriebsstätte,2007,,"348,600.00",
906,Salon Wörmann Kramer,"begleitende konzeptionelle Marketingberatung zur Steigerung der
Wettbewerbsfähigkeit  und Verbesserung von Umsatz & Rendite",2007,2008,,"4,000.00"
908,Samtgemeinde Emlichheim,Erweiterung der Kläranlage Hoogstede,2007,,"678,000.00",
909,Samtgemeinde Emlichheim,"Erweiterung der Kläranlage Hoogstede - 2. BA Errichtung und
Umbau der Belebungsanlage",2008,,"678,000.00",
910,Samtgemeinde Sögel,Erweiterung der vorhandenen Kläranlage Sögel,2008,,"2,050,000.00",
911,Sanitätshaus o.r.t. GmbH & Co.KG Herr Armin Asselmeyer,Entwicklung von neuen Marketingstrategien,2009,,"6,800.00",
914,SBV Baustoff-Vertrieb Jürgen Schneider e.K.,"Erstellung eines Marketingkonzeptes und Begleitung bei der
Umsetzung",2008,2008,,"10,000.00"
915,Schaeferwerk Gödeke GmbH & Co KG,Erweiterung einer Betriebsstätte,2007,,"310,800.00",
916,Scharf & Körner Innenausbau GmbH & Co. KG,Neukonzeption des Marketings und des Vertriebs,2009,,"8,800.00",
917,Schecker GmbH,"Strategische Neuausrichtung und Positionierung am Markt für den
Versand von Hundeartikeln",2008,2008,,"8,000.00"
918,Schico Stahlbau GmbH,"Entwicklung der langfristigen Stratgie und des Marktauftrittes des
Unternehmens",2008,2008,,"1,600.00"
919,Schleifer Maschinenbau GmbH,Optimierung der Marketingstrategie und -kompetenz,2009,2009,,"10,000.00"
920,Schmidt Autoreparaturen GmbH,"Herausstellen des Unternehmens als Spezialist ggü. Mitbewerbern
im Bereich des spezialisierten KfZ-Umbaus",2008,,"3,200.00",
921,Schmidt GmbH Hallenbau- Stahlbau-Maschinenbau,Marktanalyse und aufzeigen von Absatzmärketen in der Ukraine,2007,2008,,"4,000.00"
922,Schmitz GmbH,Entwicklung einer Marketingstrategie,2008,,"5,200.00",
923,Schoon Grüngestaltung,"Entwicklung einer langfristigen Strategie für den Marktauftritt des
Unternehmens",2008,,"3,500.00",
924,Schott AG Werk Grünenplan,"Projekt ""Borodraw""",2009,,"94,700.00",
925,Schreiber Media Verlagsgesellschaft mbH,Herausarbeitung des innenorientierten Fokus des Unternehmens,2009,,"4,000.00",
926,Schröder Heizung Sanitär OHG,Vertiefung der Marketingstrategie,2008,2009,,"7,600.00"
927,Schulte¿s Malereibetrieb,"Aufbau eines komplexen Marketingkonzeptes zur kontrollierten
Umsatzausweitung",2008,2009,,"4,000.00"
928,Schulz Medizintechnik,Erweiterung einer Betriebsstätte,2007,,"19,500.00",
929,"Schutzgemeinschaft Deutscher Wald Landesverband
Niedersachsen e.V.","Errichtung eines Luchs-Informationszentrums im Haus der Natur in
Bad Harzburg",2007,,"31,000.00",
930,Schweigatz Heizungs. und Sanitärbau GmbH,Entwicklung Outdooraufsatzkühler inkl. Wärmerückgewinnung,2008,,"58,500.00",
931,Schweiß- und Stahlbautechnik Bohlen,Erweiterung einer bestehenden Betriebsstätte,2008,,"55,300.00",
932,Schweißtechnik Kenn GmbH,"Bestandsaufnahme der betrieblichen Gesamtsituation sowie
Erarbei tung einer Projektplanung",2008,2009,,"3,900.00"
933,Seidel Textilservice GmbH & Co KG,"Begleitung und Vorbereitung zur Einwerbung von Eigenkapital und
ergänzendem Fremdkapital",2008,2008,,"10,000.00"
934,SERVLOG GmbH & Co. KG,Errichtung einer Betriebsstätte,2007,,"480,000.00",
935,Seus Kältetechnik U. Seus & Team GmbH,Entwicklung eines Speicher- und Regelsystems für eine Absorptionsanlage,2008,,"100,000.00",
939,Siegfried Maas GmbH,"Optimierte Vermarktung der Produkte und Dienstleistungen über
das Internet",2008,2008,,"3,200.00"
940,Sigma Laborzentrifugen GmbH,Erweiterung einer Betriebsstätte in Osterode,2008,,"812,600.00",
941,Simons Jan SB-Waschanlagen,"Erstellung eines Marketingkonzeptes zur Image- und
Verkaufsförde rung",2009,,"10,000.00",
942,Simtec Systems GmbH,Entwicklung und Umsetzung einer Marketing- & Vertriebsstrategie,2008,2009,,"10,000.00"
943,SmarAct GmbH,Einstellung eines Hochschulabsolventen,2009,,"12,000.00",
944,Sonnen-Energie-Zentrum GmbH,Corporate Design und Kommunikationsmittel,2009,,"4,000.00",
945,Sonnen-Energie-Zentrum GmbH,Grnderwerb / Maschinen und Anlagen / Gebäude,2008,,"105,000.00",
946,Sonnen-Pellet Harz GmbH i.Gr. c/o Schellinger KG,"Errichtung eines Pelletwerkes, Maschinen und Anlagen, Einrichtun",2008,,"2,300,000.00",
947,Sportwelt Hildesheim GmbH,Schaffung eines neuen Marktauftrittes,2008,2009,,"10,000.00"
948,SPS Fertiggauben GmbH,Organisation und Ausbau des Vertriebsnetzes,2008,,"6,000.00",
949,Stadt Aurich,Parkplatzanlage und Wegeverbindung Julianenburger  Str,2009,,"340,845.75",
950,Stadt Aurich,"Planung Straßengestaltung ""Historische Altstadt""",2009,,"83,263.11"
951,Stadt Aurich,Umsetzung Parkleitsystem Altstadtring,2009,,"503,370.00"
952,Stadt Bad Harzburg,Kläranlage Bad Harzburg,2009,,"1,200,000.00"
953,Stadt Braunschweig,Beleuchtung Ringgleis,2008,,"209,440.00"
954,Stadt Braunschweig,"KMU Richtlinie der Stadt Braunschweig - Förderung von
Investitionen in Unternehmen (speziell KMU)",2007,,"508,082.00"
955,Stadt Braunschweig,Natur erleben in Riddagshausen: Erlebnispfade zu 9 Stationen,2007,,"186,830.00"
956,Stadt Braunschweig,Neuordnung Städtischer Betriebshof,2008,,"264,397.18"
957,Stadt Braunschweig,Umbau/Modernisierung Städtisches Museum Braunschweig,2008,,"1,841,613.00"
958,Stadt Burgdorf,Parkanlage Hannoversche Neustadt,2008,,"443,459.00"
959,Stadt Burgwedel,Ausbau Knickmannhaus,2008,,"3,096,381.00"
960,Stadt Burgwedel,"Erweiterung der Kläranlage Wettmar, Engensen.Thönse 2.BA",2009,,"1,600,000.00"
961,Stadt Burgwedel,"Erweiterung der Kläranlagen Wettmar, Engensen und Thönse
1.BA",2008,,"75,287.00"
964,Stadt Cloppenburg,Neugestaltung Stadthalle/Mühlenstraße/Soeste,2008,,"533,244.93"
965,Stadt Cloppenburg,"Städtebaulicher Rahmenplan ""Innenstadt""",2008,,"27,965.00"
966,Stadt Delmenhorst,"Richtlinie zur Förderung einzelbetrieblicher Investitionen klein er
und mittlerer Unternehmen (KMU) in der Stadt Delmenhorst",2009,,"755,482.90"
967,Stadt Delmenhorst,"Richtlinie zur Förderung einzelbetrieblicher Investitionen kleiner
und mittlerer Unternehmen (KMU) in der Stadt Delmenhorst",2007,,"944,517.10"
968,Stadt Delmenhorst,Wissens- und Technologietransfer,2008,,"105,000.00",
969,Stadt Einbeck,Rückbau des ehemaligen Pelzveredelungsbetriebs Schmidt-Marco,2007,2009,,"515,328.74"
970,Stadt Emden,"Aufbau eines Branchennetzwerkes Logistik und des
Clustermanagements",2008,,"488,880.00",
971,Stadt Emden,"Richtlinie zur Förderung von Investitionen und investitionsvor-
bereitenden Maßnahmen KMU in der Stadt Emden",2008,,"579,952.00",
972,Stadt Emden,"Richtlinie zur Förderung von Investitionen und investitionsvorbe
reitenden Maßnahmen kleiner und mittlerer Unternehmen (KMU)",2009,,"546,612.00",
973,Stadt Gifhorn,Neubau Hallenbad,2009,,"8,070,089.00",
974,Stadt Goslar,Wettbewerb zur Umgestaltung der Fußgängerzone,2008,,"100,000.00",
975,Stadt Göttingen,"Richtlinie zur Förderung von Investitionen in kleinen und mitt- leren
Unternehmen (KMU) in der Stadt Göttingen",2008,,"700,000.00",
976,Stadt Göttingen,"Richtlinie zur Förderung von Investitionen in kleinen und mittle ren
Unternehmen (KMU) in der Stadt Göttingen",2009,,"785,812.00",
977,"Stadt Göttingen Koordinierungsstelle Frauenförderung in der
privaten Wirtschaft",Koordinierungsstelle Frauenförderung in der privaten Wirtschaft,2007,,"147,293.48",
978,"Stadt Göttingen Koordinierungsstelle Frauenförderung in der
privaten Wirtschaft",Koordinierungsstelle Frauenförderung in der privaten Wirtschaft,2008,,"154,996.00",
979,Stadt Hameln,"Neugestaltung und Modernisierung Fußgängerzone, Abschnitt 1",2009,,"2,724,000.00",
980,Stadt Hameln,Neukonzeption/Modernisierung  Museum Hameln,2008,,"3,215,000.00",
981,Stadt Hann. Münden,"Sicherung und Sanierung des Altstandortes ""Im Schulzenrode""",2007,,"1,545,600.00",
982,Stadt Hann. Münden,"Umgestaltung d.Entwässerung u. Mischwasserbehandlung im
Einzugsgebiet ""Kattenbühl"", ""Vogelsang"" u. ""Galgenberg""",2008,,"1,590,000.00",
983,Stadt Hannover,Ihmezentrum - Gestaltung Vorflächen zw Gebäude u Straßen,2008,,"750,000.00",
984,Stadt Hannover,"Ihmezentrum, Rückbau Küchengartenbrücke, Folgemaßnahmen",2008,,"78,387.22",
987,Stadt Hannover,Modernisierung ehem. Alice-Salomon-Schule,2008,,"2,864,500.00",
988,Stadt Lingen,"Ausbau Professorenhaus Lingen in ""Haus der Sinne für alle
Generationen und Kulturen""",2008,,"1,115,000.00",
989,Stadt Lingen,"Sanierung des ehemaligen Eisenbahnausbesserungswerkes
Flächenab- schnitt ehemaliger Ölbunker/Anheizschuppen",2007,2009,,"89,503.06"
990,Stadt Melle,Erweiterung der Kläranlage Melle-Wellingholzhausen,2007,,"2,151,000.00",
991,Stadt Meppen,"Modernisierung/Erweiterung der Kunstschule im Kulturnetzwerk
Kulturschleuse Meppen",2008,,"210,700.00",
992,Stadt Meppen Stadtwerke,Optimierung der Kläranlage in Rühle,2007,,"1,000,000.00",
993,Stadt Neustadt a. Rbg.,"Trittsteine mit Informationseinrichtungen am Uferweg in
Mardorf/Steinhuder Meer",2009,,"364,310.00",
994,Stadt Nordenham,"Aufbereitung von Gewerbeflächen im Gewerbegebiet Flagbalger
Straße",2008,,"1,258,199.80",
995,Stadt Norderney,Entflechtung von Schmutz- und Regenwasser Gartenstraße,2009,,"151,656.00",
996,Stadt Nordhorn,Erschließung des Gewerbegebietes Klausheide-Nord,2008,,"3,134,000.00",
997,Stadt Nordhorn,"NINO-Hochbau, Ausbau zu einem Kompetenzzentrum Wirtschaft",2008,,"6,000,000.00",
998,Stadt Oldenburg,Netzwerk OLEC,2008,,"467,500.00",
999,Stadt Oldenburg,"Richtlinie der Stadt Oldenburg zur einzelbetrieblichen Förderung
von Investitionen kleiner und mittlerer Unternehmen (KMU)",2007,,"800,000.00",
1000,Stadt Oldenburg,"Richtlinie der Stadt Oldenburg zur einzelbetrieblichen Förderung
von Investitionen kleiner und mittlerer Unternehmen (KMU)",2009,,"300,000.00",
1001,Stadt Oldenburg,"Umbau der ehemaligen Lagerhalle Klävemannstraße zur
Interkulturellen Nutzung",2008,,"1,090,000.00",
1002,Stadt Oldenburg,Umbau Exerzierhalle Oldenburg,2007,2009,,"609,428.32"
1003,Stadt Oldenburg,"""Wissens- und Technologietransfer""",2009,,"24,000.00",
1004,Stadt Oldenburg,Wissens- und Technologietransfer,2008,2009,,"6,684.83"
1005,Stadt Osnabrück,Erweiterung Felix-Nussbaum-Haus,2008,,"3,056,500.00",
1006,Stadt Osnabrück,"Richtlinie zur Förderung von Investitionen in kleinen und mittle ren
Unternehmen (KMU) in der Stadt Osnabrück",2009,,"500,000.00",
1007,Stadt Osnabrück,"Richtlinie zur Förderung von Investitionen in kleinen und mittleren
Unternehmen (KMU) in der Stadt Osnabrück",2007,,"800,000.00",
1010,Stadt Osnabrück,"Südstieg - Vom Museum Industriekultur auf die Felsrippe des
Piesberges im Naturpark TERRA.vita",2008,,"900,000.00",
1011,Stadt Rinteln,Umsetzung des Radfernwegekonzeptes in der Stadt Rinteln,2007,,"241,629.16",
1012,Stadt Salzgitter,"KMU-Förderrichtlinie - Förderung von Investitionen in kleineren
und mittleren Unternehmen (KMU) in Salzgitter",2008,,"834,000.00",
1013,Stadt Salzgitter,"Richtlinie zur FÖrderung von Investitionen für Unternehmen (insb
esondere KMU) in Salzgitter",2009,,"905,800.00",
1014,Stadt Seesen,"Erweiterung/Neugestaltung der Dauerausstellung Städtisches
Museum Seesen",2009,,"851,000.00",
1015,Stadt Springe,"Anpassung Mischwasserkanalisation Gestorf; Einführung des
Trennsystems",2008,,"990,000.00",
1016,Stadt Syke,Erneuerung und Umbau der Hauptstraße in der Syker Innenstadt,2009,,"658,000.00",
1017,Stadt Syke,Von der Militäranlage zum Naturerlebnisraum,2009,,"109,331.25",
1018,Stadt Varel,Planungskosten zur Umgestaltung der Fußgängerzone,2009,,"184,637.90",
1019,Stadt Westerstede,Städtebaulicher Rahmenplan ISEK,2008,,"28,928.90",
1020,Stadt Wilhelmshaven,KMU Programm Wilhelmshaven,2007,,"680,000.00",
1021,Stadt Wilhelmshaven,KMU-Programm Wilhelmshaven,2009,,"600,000.00",
1022,Stadt Wolfenbüttel,Herrichtung Villa Seeliger,2007,,"2,165,000.00",
1023,Stadt Wolfsburg,Große Weidetiere in den Ilkerbruchwiesen,2007,2009,,"165,567.19"
1024,Stadt Wolfsburg,Große Weidetiere in den Ilkerbruchwiesen - 3. Bauabschnitt,2009,,"129,220.00",
1025,Stadt Wolfsburg,"Richtlinie der Stadt Wolfsburg - Förderung von Investitionen in
Unternehmen (speziell KMU)",2009,,"1,243,730.10",
1026,Stadt Wolfsburg,"Richtlinie der Stadt Wolfsburg Förderung von Investitionen in
Unternehmen (speziell KMU)",2007,,"1,200,000.00",
1027,Stadt Wolfsburg,Technologieberater Wolfburg,2008,,"195,000.00",
1028,Stadt Wunstorf,"Natürlich Radfahren am Steinhuder Meer - Verbesserung des
Radweg enetzes",2009,,"267,361.37",
1029,Stadtwerke Georgsmarienhütte,"Umbau/Neubau der mechanischen Reinigung in
Georgsmarienhütte",2009,,"1,629,000.00",
1030,Stadtwerke Leer,"Beseitigung d. Abwasserproblematik im westl. Stadtgebiet BA 2 A
Entflechtung der Mischwasserkanalisation",2008,,"61,973.60",
1033,Stahl- und Maschinenbau Hasenpatt,"Begleitung und konzeptionelle Beratung zur Planung und
Durchführung einer Unternehmensübergabe",2008,2009,,"4,000.00"
1034,Stammermann GmbH & Co. KG,Entwicklung von Marketingstrategie und -konzeptionierung,2008,2009,,"6,000.00"
1035,Stattreisen Hannover e.V.,Jahrhundertrevue,2007,2009,,"56,243.95"
1036,Steenfelder Betonwerk Johann Meinders GmbH,"Entwicklung von modulartigen, vorgefertigten Wand-
Fassadenelementen aus Klinker und Vormauerziegel",2008,,"86,600.00",
1037,Steenken Landtechnik Stahl- und Hallen- bau GmbH,Analyse der Absatzmärkte und Definition von Marketingzielen,2008,,"8,000.00",
1038,"Steinmetz- und Stukkateurfachbetrieb H. Wille GmbH & Co.
KG",Zielgruppenorientiertes Marketing,2008,,"10,000.00",
1039,Sterowa Gebäudeausbau GmbH,"Nachfolgeregelung und Unternehmenssicherung;
Unternehmensbewertung",2008,2009,,"4,400.00"
1040,Stiftung Kulturschatz,"Monumentendienst Weser-Ems -Pflege- und Wartungskonzept für
historische Gebäude",2008,,"300,400.00",
1041,Stiftung Kulturschatz,Monumentendienst 2009 (2. Projektabschnitt),2009,,"681,846.41",
1042,"Stiftung Universität Hildesheim Institut für
Betriebswirtschaftslehre und Wirtschaftsinformatik",Innovationsnetzwerk Region Hildesheim,2009,,"90,000.00",
1043,Stöbich Brandschutz GmbH & Co KG,Erweiterung einer Betriebsstätte,2007,,"504,400.00",
1044,Strandrausch Jürgen Möllmann,"Standortanalysen, Imageanalysen, Markenaufbau Marketing- und
Kommunikationskonzepte",2008,2009,,"10,000.00"
1045,Strick STUDIO Heinz-Willy Heuermann GmbH,Begleitung des Prozesses der Unternehmensnachfolge,2008,2009,,"10,000.00"
1046,Strommixer GmbH & Co. KG,Entwicklung des Marktauftrittes des Unternehmens,2008,2008,,"5,500.00"
1047,Sugint & Scherf Ambulante Kinderkrankenp flege,Entwicklung eines professionellen Corporate Web Designs,2009,2009,,"2,800.00"
1048,Suhr's Fruchtimport GmbH,"Begleitende und konzeptionelle Beratung bei der Neu- und
Weiterentwicklung des Produkt- und Dienstleistungsangebotes",2008,,"10,000.00",
1049,Susanne's Hair + Flair Susanne Schöne-Meyer,"Begleitende, konzeptionelle Marketing-Beratung mit dem Ziel der
Steigerung der Wettbewerbsfähigkeit und Verbesserung der
Umsatz-",2008,2009,,"4,000.00"
1050,SWE Speiseresteverwertung Weser-Ems Müller GmbH,"Bestandsaufnahme der aktuellen Marketingsituation und
Entwicklun g von Maßnahmen für die identifizierten Schwächen",2009,,"10,000.00",
1051,SYCOC GmbH,Begleitung bei der Akquise von Beteiligungskapital,2009,,"6,000.00",
1052,Syntron Gesellschaft für integrale Sicherheitssysteme mbH,Einwerbung von Eigenkapital und Fremdkapital,2008,,"8,400.00",
1053,SYSTEM4 Intermedia,Erstellung eines Marketingkonzepts,2008,2009,,"10,000.00"
1063,T.E. Jensen OHG,Erweiterung der Betriebsstätte,2008,,"101,500.00",
1056,Tammo Krüger die energiezentrale,"Aufbau des Unternehmens ""die energiezentrale""",2009,,"18,000.00",
1057,Tanzen Design Herr Holger Tanzen,Erstellung eines Marketingplanes,2008,2008,,"10,000.00"
1058,Tapken Alubau GmbH & Co. KG,"Erstellung einer Marketingstrategie zur Umsatzausweitung  und
Stabilisierung der Auftragslage & Neukundengewinnung",2007,2009,,"6,000.00"
1059,TARA Ingenieurbüro,"Positionierung, Internetmarketing, CRM, Strategieberatung,
Markenmodell",2008,2009,,"4,875.46"
1060,"TAV Bad Bentheim, Schüttorf, Salzbergen und Emsbühren","Erweiterung und Optimierung der KA Schüttorf BA 2.3 Erweiterung
u. Optimierung biologischen Reinigungsstufe",2008,,"1,398,250.00",
1061,"TAV Bad Bentheim, Schüttorf, Salzbergen und Emsbühren",Erweiterung und Optimierung der Kläranlage Schüttorf,2007,,"1,595,000.00",
1062,TCV-Stroetmann Vertriebs GmbH,"Erstellung eines Marketing- und Vertriebskonzeptes zur Image-
und Verkaufsförderung",2008,2009,,"6,000.00"
1064,Technikhaus Dentale Technologie GmbH i. Gr.,Neubau einer Betriebsstätte,2008,2009,,"13,536.90"
1065,"Technische Universität Carolo-Wilhelmina zu Braunschweig
Institut für Werkzeugmaschinen und Produktionstechnik",Car2Ped - Verbesserung des Fußgängerschutzes,2008,,"74,991.20",
1066,"Technische Universität Carolo-Wilhelmina zu Braunschweig
Institut für Werkzeugmaschinen und Produktionstechnik","Echtzeitfähige Modelle mobiler und stationärer CO2-
Wärmepumpen",2008,,"303,421.07",
1067,"Technische Universität Carolo-Wilhelmina zu Braunschweig
Institut für Werkzeugmaschinen und Produktionstechnik",Elektronenschweißen von duktilem Aluminium,2009,,"237,794.56",
1068,"Technische Universität Carolo-Wilhelmina zu Braunschweig
Institut für Werkzeugmaschinen und Produktionstechnik","Entwicklung von hochdurchsatzfähigen Verfahren zum indirekten
Na chweis von Salmonella Serovaren und Campylobacter
Subspezies   8",2008,,"235,140.00",
1069,"Technische Universität Carolo-Wilhelmina zu Braunschweig
Institut für Werkzeugmaschinen und Produktionstechnik","?Innovatives Design in der Katalysatorforschung: Neuartige Katal
ysatoren für Industrie und Universität?",2008,,"240,000.00",
1070,"Technische Universität Carolo-Wilhelmina zu Braunschweig
Institut für Werkzeugmaschinen und Produktionstechnik",Konzeption und Implementierung von GPS für KMU,2008,,"28,126.54",
1071,"Technische Universität Carolo-Wilhelmina zu Braunschweig
Institut für Werkzeugmaschinen und Produktionstechnik",Pool-Projekt Einfach,2008,,"206,466.24",
1072,"Technische Universität Carolo-Wilhelmina zu Braunschweig
Institut für Werkzeugmaschinen und Produktionstechnik","SmallCAN: Integrierte Gebäudeautomatisierung durch
einheitliches Low-Power, Low-Cost, OpenSource Bussystem",2009,,"230,078.98",
1073,"Technische Universität Carolo-Wilhelmina zu Braunschweig
Institut für Werkzeugmaschinen und Produktionstechnik","Strategien für die Nachserienversorgung innovationsstarker
Kompo nenten in kleinen und mittelständischen Unternehmen",2008,,"48,454.36",
1074,"Technische Universität Carolo-Wilhelmina zu Braunschweig
Institut für Werkzeugmaschinen und Produktionstechnik",SUBVENTO,2008,,"258,168.65",
1077,"Technische Universität Carolo-Wilhelmina zu Braunschweig
Institut für Werkzeugmaschinen und Produktionstechnik","Synchronisation von Ontologien und Datenbanken mit
systemübergre ifenden Anfragen",2008,,"205,324.40",
1078,"Technische Universität Carolo-Wilhelmina zu Braunschweig
Institut für Werkzeugmaschinen und Produktionstechnik","Übertragung von Betriebs- und Umweltdaten durch ÖPVN-
Fahrzeuge",2009,,"227,310.32",
1079,Technische Universität Clausthal,"Bipolarplatten mit Dichtungseigenschaften für Methanolbrennstoff
zellen",2008,,"279,147.32",
1080,Technische Universität Clausthal,"Dezentrale Netzqualitätsverbesserung in Niederspannungsnetzen
mi t virtuellen Synchronmaschinen",2008,,"270,893.44",
1081,Technische Universität Clausthal,"Entwicklung einer virtuellen Synchronmaschine für den Einsatz in
unterbrechungsfreien Stromversorgungen",2008,,"245,063.89",
1082,Technische Universität Clausthal,Erhöhung der Leistungsfähigkeit von Brüdenventilatoren,2008,,"271,297.22",
1083,Technische Universität Clausthal,Gründercampus Clausthal,2008,,"113,580.00",
1084,Technische Universität Clausthal,"Konstruktionssystematische Neugestaltung einer
Rollenflexodruckm aschine nach dem Baukastenprinzip",2008,,"254,929.00",
1085,Technische Universität Clausthal,Pool-Projekt Clausthal,2008,,"182,844.00",
1086,Tectronic-Systems GmbH,Optimierung der Kundenansprache durch gezielte Marketingmaßn.,2007,2008,,"10,000.00"
1087,TEG Technische Entwicklungsges. mbH,Errichtung einer Betriebsstätte,2007,,"924,000.00",
1088,TEG Technische Entwicklungsges. mbH,Einstellung eines Hochschulabsolventen,2008,,"6,000.00",
1089,Terma GmbH,Erstellung und Umsetzung eines Marketingkonzeptes,2008,2009,,"6,000.00"
1090,TGO Besitz GmbH & Co KG,Erweiterung des Technologie- und Gründerzentrums Oldenburg,2008,,"4,300,000.00",
1091,Thannhäuser Maschinenbau GmbH,Werkhallenanbau und Hallenbüro,2008,,"45,800.00",
1092,Theater für Niedersachsen,Marketing- und Vertriebskonzept für Theater für Niedersachsen,2009,,"700,000.00",
1093,Theodor Dörfler Einzelhandel,Durchführung einer optimalen Nachfolge,2007,2008,,"7,075.00"
1094,Therapiezentrum am Rüsch GmbH,Entwicklung interner und externer Marketinginstrumente,2008,2009,,"5,200.00"
1095,THG Technische Handelsgesellschaft mbH,"Erarbeitung und Beschreibung eines
Qualitätsmanagementsystems",2008,,"9,800.00",
1096,Thin Light GmbH & Co. KG,"Schaffung der marketingtechnischen Voraussetzungen für einen
leistungsfähigen Vertrieb der Produkte",2008,,"10,000.00",
1097,Thoclatec GmbH,Anabu eines Bürogebäudes,2008,,"102,000.00",
1098,Tierärztliche Hochschule Hannover,RUMEN,2008,,"273,625.00",
1101,Tierärztliche Hochschule Hannover,VETlife - Servicepool für den tiermedizinischen Alltag,2008,,"912,154.83",
1102,Tischlerei & Antiqutäten Schulz,"Entwicklung der langfristigen Marketingstrategie und des
Marktauftrittes",2008,2009,,"3,000.00"
1103,Tischlerei Frank Saul,Erarbeitung einer Marketingstrategie,2007,2009,,"6,000.00"
1104,Tischlerei Huntemann GmbH,"Begleitung bei der Umsetzung eines komplexen
Marketingkonzeptes",2009,,"10,000.00",
1105,Tischlerei Schmedeke GmbH,Entwicklung eines Marketingkonzeptes,2008,2008,,"4,000.00"
1106,tooLinx Ltd. & Co. KG,Beratung bei der Erstellung eines Marketingkonzeptes,2008,2009,,"7,200.00"
1107,Topell Schleiftechnik GmbH,Erweiterung der Betriebsstätte,2007,,"148,300.00",
1108,Trägerverein Koordinierungsstelle Frauen und Wirtschaft e.V.,"Koordinierungsstelle Frauen und Wirtschaft
Oldenburg/Wildeshausen/Delmenhorst",2007,2009,,"110,430.96"
1109,Trägerverein Koordinierungsstelle Frauen und Wirtschaft e.V.,Trägerverein Koordinierungsstelle Frauen und Wirtschaft e.V.,2008,,"115,012.50",
1110,Treichel Elektronik GmbH,Verbesserung der Marktposition des Unternehmens,2008,2009,,"6,000.00"
1111,"Trink- u. Abwasserverband ""Bourtanger Moor""","Erweiterung der Kläranlage Haren - 2. Bauabschnitt Bau anaerobe
Schlammstabilisierung (Faulung)",2007,2009,,"2,000,000.00"
1112,"Trink- u. Abwasserverband ""Bourtanger Moor""","Erweiterung Kläranlage Dalum, 1. BA",2009,,"2,484,000.00",
1113,TRINOS Solar GmbH,"Errichtung Betriebsstätte Fertigung Vakuumkammern
Solarindustrie",2008,,"1,034,000.00",
1114,trinovis GmbH,"Entwicklung eines Softwareprodukts für die Planung langfristiger
Szenarien im Krankenhaus",2007,,"150,000.00",
1115,Troels E. Jensen OHG,Erstellung einer Konzeption zur Unternehmensnachfolge,2008,2009,,"2,100.00"
1116,Troll Factory,"Optimierung der bestehenden Marktposition; Schärfung des
eigenen Leistungsprofils",2008,2009,,"10,000.00"
1117,TS-Aluminium Profisysteme GmbH & Co. KG,Erweiterung der Betriebsstätte,2007,,"321,000.00",
