Goedgekeurde EFRO-projecten Doelstelling 2 ‘Regionaal Concurrentievermogen en Werkgelegenheid’ 2007-2013,,,,,,,
Projectnaam,Promotor,,EFRO,Totale kost,EFRO-%,Startdatum,Einddatum
VELO op site voor sociale economie,VELO vzw,"Realisatie van een bedrijvencentrum voor de sociale economie van Leuven op de voormalige veilingsite in Heverlee. Deze bouw zorgt ervoor dat ca 450 werknemers, cursisten en medewerkers van de sociale economie van Leuven in optimale omstandigheden kunnen werken.","296,020.23","740,050.57",40.00%,12/1/07,11/30/09
Wonen en Werken Site Sociale Economie,Wonen en Werken Tewerkstelling,"Realisatie van een bedrijvencentrum voor de sociale economie van Leuven op de voormalige veilingsite in Heverlee. Deze bouw zorgt ervoor dat ca 450 werknemers, cursisten en medewerkers van de sociale economie van Leuven in optimale omstandigheden kunnen werken.","887,479.87","2,779,407.40",31.93%,10/23/08,6/30/10
Dienstencentrum Duwijckpark,POM Antwerpen,POM Antwerpen zal een leegstaand pand ombouwen tot dienstencentrum ten dienste van bedrijven van de industriezone Duwijckpark. In dit pand wordt een strijkatelier ondergebracht en een kinderdagverblijf met een opvangcapaciteit voor 40 kinderen.,"437,777.21","1,094,443.04",40.00%,8/18/09,8/17/11
Kanaalpark Vilvoorde,Stad Vilvoorde,"Creatie van een nieuwe groene verbinding tussen een nieuw stadsdeel en het centrum. Dit project richt zich op de omgevingswerken onder en langs de Vuurkruisenlaan die over de Kanaalbrug loopt. Hoofddoelstelling is de ontwikkeling van een kwalitatief hoogstaande publieke ruimte, die zal instaan voor rust, recreatie en sociale ontmoeting.","1,036,720.00","2,591,800.00",40.00%,11/3/08,11/3/10
Kievit wordt nieuwe toegang tot Centraal Station,Autonoom gemeentebedrijf- Antwerpen Nieuw Noord,Opwaardering van een 'passagewijk' tot een volwaardige stationswijk. Dit project kadert in een totaalplan om de Kievitwijk te herprofileren als een economische investeringszone aan het HST-station Antwerpen en dit met respect voor en op maat van de Kievitbuurt als gerevitaliseerde stedelijke woonwijk.,"2,486,786.00","6,216,965.00",40.00%,6/1/08,5/31/10
Ledeberg leeft - actie 1: realisatie van een welzijnsknoop,Stad Gent,"Dit stadsvernieuwingsproject vertrekt vanuit 6 concrete doelstellingen: meer en mooier groen, een hogere woonkwaliteit, vlotter en veiliger verkeer, verbeterde toegangswegen, meer en actievere dienstverlening en meer ruimte voor ontmoeting. Met de 'welzijnsknoop' komt men tegemoet aan de nood aan bijkomende dinestverlening aan en begeleiding van bepaalde kansengroepen (laaggeschoolden, allochtonen, werklozen)","1,556,169.28","3,890,423.21",40.00%,9/2/08,9/1/10
Winkelgebied Oud-Berchem en Singel Zuid: Opwaardering openbaar domein,Stad Antwerpen,Heraanleg van het openbaar domein in de winkelstraten en het benadrukken van de ruimtelijke relatie met de Groene Singel en aangrenzende ontwikkelingen.,"1,758,689.94","4,396,724.84",40.00%,9/1/08,8/31/10
Project Gent Sint-Pieters: Herinrichting Clementinalaan met vrije tram/busbedding,Stad Gent,"Het project Gent St-Pieters is een integraal en strategisch project op Vlaams niveau. Het grootste Vlaams station wordt omgebouwd tot een geïntegreerd trein-, bus- & tramstation dat 60.000 opstappende reizigers kan bedienen. Het wordt een aantrekkelijk en performant transferium waar uitwisselingen tussen openbaar vervoer, fiets, voetgangers & taxi’s naadloos en veilig op elkaar aansluiten.","389,000.00","972,500.00",40.00%,9/1/07,12/31/08
Project Gent Sint-Pieters - Deelproject 1 Max Mobiel,AG Stadsontwikkelingsbedrijf Gent,"Het project Gent St-Pieters is een integraal en strategisch project op Vlaams niveau. Het grootste Vlaams station wordt omgebouwd tot een geïntegreerd trein-, bus- & tramstation dat 60.000 opstappende reizigers kan bedienen. Het wordt een aantrekkelijk en performant transferium waar uitwisselingen tussen openbaar vervoer, fiets, voetgangers & taxi’s naadloos en veilig op elkaar aansluiten.","318,578.11","796,445.27",40.00%,4/1/07,3/31/09
Benedenstad herleeft/d,Stad Mechelen,"De stad Mechelen wil inzetten op de herwaardering en het versterken van het kernwinkelgebied. Uit het commercieel strategisch plan is gebleken dat Mechelen zich primair moet richten op het recreatief winkelen. Met Benedenstad herleeft/d wordt de Sint-Katelijnestraat aangepakt, een kinderopvang ingericht, een jongerenbedrijvencentrum opgestart, de Sint-Romboutstoren toegankelijk gemaakt en het historische hart aan het Sint-Romboutskerkhof blootgelegd.","1,701,671.72","4,254,179.29",40.00%,2/1/09,1/31/11
Aanleg stadsplein Genk,Stad Genk,"Dit project vormt het sluitstuk van het globale centrumvernieuwingsproject waarbij 15.000 m2 nieuwe commerciële ruimte werd gecreëerd, samen met de bouw van 111 nieuwe appartementen, een nieuwe stadsbibliotheek, de aanleg van een ondergrondse parking (781 plaatsen, waarvan 670 publieke plaatsen), het creëren van een centrumring met een actief parkeergeleidingssysteem en een totaal vernieuwd mobiliteitsplan.","2,461,596.00","6,193,506.66",39.74%,4/23/07,12/31/09
KoBra - Heraanleg Korenmarkt en aanpalende straten in Gent,Stad Gent,"De Stad Gent wil met de heraanleg van de Korenmarkt en omgeving het 'wandelen-winkelen-bezichtigen' nog meer plaats en ruimte geven. Door het linken van de stedelijke ontwikkeling aan het collectieve geheugen van de stad wil het eveneens de economische ontwikkeling, innovatie, sociale cohesie en duurzame ontwikkeling van historische steden stimuleren.","2,352,068.00","5,880,170.00",40.00%,1/1/09,12/31/10
Heraanleg Werfplein en Frits De Wolfkaai,Stad Aalst,"Het Werfplein vormt de centrale scharnier tussen de Denderoevers maar is door de jaren heen verworden tot een verschraalde ruimte met een beperkte stedelijke relevantie. Het masterplan ‘Stationsomgeving’ stelt een vernieuwende identiteit voor waarbij het plein als onderdeel van de groene Denderesplanade een plek wordt waar de stad opnieuw haar gezicht naar de rivier keert. Het gaat om het opnemen van een verloren relatie en verloren gegane functies. Naast de potentie van te kunnen uitgroeien tot een boeiende publieke ruimte draagt het Werfplein ook vanuit een stadsbreed en regionaal perspectief een miskend economische belang in zich. Waar het Werfplein voornamelijk te kampen heeft met een lage belevingswaarde- doet zich op De F. De Wolfkaai, het parallel plein aan de overkant van de Dender, een structureel verkeersprobleem voor. Het verkeer dat via de vijf toegangswegen over het plein het stadscentrum wil bereiken, raakt gestremd voor de brug. Een duurzame oplossing bestaat er in de beide pleinen zodanig in te richten dat voetgangers, fietsers, busgebruikers en automobilisten de trein vlotter kunnen bereiken. Bijzondere aandacht gaat hierbij naar de kansen op het vlak van mobiliteit, economische ontsluiting van de aangrenzende stadsdelen en de recreatieve waarde van het Werfplein.","917,957.00","2,294,893.38",40.00%,8/3/09,8/2/11
Oude Dokken - kaaimuur Handelsdok,AG Stadsontwikkelingsbedrijf Gent,"De renovatie van de kaaimuren in het Handelsdok Oost vormen het eerste deelproject binnen de uitvoering van het stadsontwerp project ‘Oude Dokken’, onderdeel van het strategisch stadsvernieuwingsproject voor Gent Noord. Dit project van AG Stadsontwikkelingsbedrijf Gent-Autonoom Gemeentebedrijf is een voorbeeld van stedelijke reconversie van een oud industriegebied in een gemengd stedelijk gebied.","2,311,777.17","5,797,563.24",39.87%,4/1/10,3/31/12
100 km fietspad!,Stad Antwerpen,"Over een periode van 4 jaar wil Antwerpen 100km nieuwe fietsinfrastructuur aanleggen en een ver doorgedreven renovatie en opwaardering van de bestaande infrastructuur. Zo wil de stad een verhoging van de kwaliteit, het comfort en de veiligheid en een betere bereikbaarheid van de stad en haar verschillende kernen voor de functionele fietser bekomen.","2,940,937.60","9,491,212.80",30.99%,4/15/09,4/14/11
Fochplein,Stad Leuven,"De Stad Leuven wil het Fochplein opwaarderen zodat het haar schakelrol tussen de verschillende (economische) winkelpolen en haar rol als uitwisselingspunt beter kan vervullen. De ruimte moet een ontmoetings- en uitwisselingsplaats worden voor zowel fietsers, voetgangers als busreizigers.","1,244,927.71","3,323,086.00",37.46%,11/30/09,11/30/11
Voortraject IPZ,AG VESPA,"De Vlaamse en stedelijke projectpartijen willen de gronden op IPZ opwaarderen van een brownfield tot een moderne bedrijvigheidszone die ruimte biedt voor watergebonden overslagfaciliteit, een stadsdistributiecentrum, innovatieve productiebedrijven, een voetbalstadion met flankerend commercieel programma, en een groene corridor als veilige doorsteek. AG Vespa krijgt steun voor het voortraject IPZ dat verder bouwt op verworven of nieuwe kennis en inzichten. Dit bevat procedurele en inhoudelijke (zichtbare) aspecten.","284,607.20","711,518.00",40.00%,9/1/09,8/31/11
De Expeditie,DE EXPEDITIE,"De Expeditie vzw (vaste leden van het theatergezelschap Cie Cecilia en Graffiti jeugddienst) gebruiken Europese steun om een leegstaand industrieel gebouw in Gent om te bouwen tot een cultureel bedrijvencentrum, waarbij de duurzame architectuur van M. José Van Hee een absolute meerwaarde biedt. Er wordt een productieplatform voorzien met werkruimtes voor repetitie, montage, studie, kantoren en een presentatieplatform voor het afwerken en tonen van theater, mediapresentaties, workshops en vorming, enz. De Expeditie wil een onderkomen bieden aan organisaties en artiesten en een ontmoetingsplek zijn voor buurtbewoners en deze artiesten/organisaties.","494,355.00","1,235,886.68",40.00%,10/1/08,9/30/10
Pierkespark (Zuurstof voor de Brugse Poort),Stad Gent,"In 2002 startte de stad Gent met het stadsvernieuwingsproject ‘Zuurstof voor de Brugse Poort’, waarvan het Pierkespark een deelproject is. De stad wil de dichtbevolkte 19e-eeuwse volkswijk de Brugse Poort (ongeveer 11000 inw/km_) meer ademruimte geven. Het stadsvernieuwingsproject is een integraal project en beoogt het versterken van de ruimtelijke, functionele en sociale mix in de wijk. Dit alles door het aanpakken van de grootste problemen: dichtgeslibd weefsel, woningen in slechte staat, weinig open ruimte, zeer weinig en daarenboven weinig kwalitatieve groenvoorzieningen, parkeerproblemen, afkalvend sociaal weefsel.","130,133.54","325,333.86",40.00%,10/30/08,10/29/10
Winkelgebied Oud-Berchem en Singel Zuid: Terreinmanagement,WNE-Regievzw voor werk en economie,Wijkcentra zijn belangrijk omdat zij de bewoners voorzien van een basisaanbod aan lokale voorzieningen. Door de handelsfunctie in dit winkelgebied te versterken wordt de basis voor een duurzame ontwikkeling van deze strategische buurt gegenereerd. Resultaatsgericht terreinmanagement in combinatie met acties rond beeldkwaliteit versterkt zowel het stedelijk als economisch weefsel,"140,535.00","351,559.00",39.97%,9/1/08,8/31/10
Winkelgebied Antwerpen-Noord en Centraal station: Terreinmanagement,WNE-Regievzw voor werk en economie,Wijkcentra zijn belangrijk omdat zij de bewoners voorzien van een basisaanbod aan lokale voorzieningen. Door de handelsfunctie in dit winkelgebied te versterken wordt de basis voor een duurzame ontwikkeling van deze strategische buurt gegenereerd. Resultaatsgericht terreinmanagement in combinatie met acties rond beeldkwaliteit versterkt zowel het stedelijk als economisch weefsel,"178,386.00","445,965.00",40.00%,9/1/08,8/31/10
"Facelift Schijnpoortbrug Antwerpen, een toegangspoort naar de stad",Stad Antwerpen,"Creatie van een nieuwe poort op het kruispunt van diverse strategische stadsontwikkelingsprojecten. De stad Antwerpen wil zo strategieën rond economie, mobiliteit, groen en sociale cohesie op elkaar afstemmen. Concreet houdt dit volgende acties in: het herwerken van de wanden van de brug door schilderwerken en verlichte panelen, het afsluiten van een tunnel die momenteel veel overlast veroorzaakt en het aanpassen van de balustrade zodat een hedendaags effect bekomen wordt.","249,492.94","623,732.37",40.00%,10/1/08,10/1/10
Trafiek - Koffiehuis,Trafiek,"In Gent, in de buurt van de Brugse Poort opent Trafiek een multicultureel koffiehuis. Dit is een alcoholvrij koffiehuis met eerlijke handel- en biologische producten, kranten, een bibliotheek-wisselcollectie, gratis internet én een terras, vaste wekelijkse activiteiten, enz. De buurtbewoners en organisaties kunnen gratis gebruiken maken van een zaal voor hun activiteiten.","41,168.77","102,921.93",40.00%,1/1/08,12/31/09
Stedelijk Opvanginitiatief Asielzoekers - realisatie tweede fase verbouwing en aanpassing,Stad Gent,"Veel asielzoekers, vluchtelingen en vreemdelingen in Gent huren vaak kwalitatief ondermaatse, onhygiënische, ongezonde en gevaarlijke woningen. De overheid kan hiertegen optreden met ongeschikt- en onbewoonbaarverklaringen. Het Stedelijk Opvanginitiatief Asielzoekers biedt slachtoffers hiervan tijdelijke opvang aan. Om de capaciteit van deze opvang te kunnen verhogen en verbeteren begint de stad Gent nu met een uitbreiding en verdere afwerking van het gebouw.","260,600.00","651,500.00",40.00%,1/1/09,12/31/10
EXTRA VEEGPLOEGEN BINNENSTAD GENT,Intergemeentelijke Vereniging voor Afvalbeheer in Gent en Omstreken,"Naast de reguliere opkuisactiviteiten uitgedrukt in een vast veegplan, uitgewerkt voor het ganse grondgebied van Gent, komt nu een nieuwe bijkomende variabele aanpak van straatreiniging in het verstedelijkt gebied. Zo wil men de netheidsgraad van de Stad Gent verder verhogen. De netheidsgraad van de aandachtswijken wordt via een meetsysteem in kaart gebracht om in functie hiervan extra reinigingsactiviteiten te organiseren. Zo wil IVAGO de buurtbewoners sensibiliseren om op termijn een grotere verantwoordelijkheid te dragen voor de netheid van hun buurt via een netheidscharter.","410,242.24","1,025,605.60",40.00%,3/1/09,2/28/11
Uitbreiding van de renovatietoelage voor handelspanden in Antwerpen,WNE-Regievzw voor werk en economie,"Om het uitzicht van de handelspanden in Antwerpen te verbeteren is een renovatietoelage in het leven geroepen. In de winkelgebieden in moeilijkheden wordt deze toelage verhoogd met Efro-steun om de handelaars extra aan te zetten hun handelspanden, zowel intern als de voorgevel, te renoveren. Een aantrekkelijk handelspand is namelijk van groot belang om een winkelstraat nieuw leven in te blazen. De toelage geldt zowel voor nieuwe zaken als voor al bestaande zaken. De toelage zal dan ook een stimulans zijn om de leegstand in deze straten weg te werken en het straatbeeld te verbeteren wat een opwaardering van de buurt inhoudt.","166,000.00","415,000.00",40.00%,1/1/10,12/31/11
