Nazwa beneficjenta,Tytul projektu,Program Operacyjny,Dzialanie,Poddzialanie,Wartosc ogolem,Dofinansowanie publiczne,Rok przyznania dofinansowania,Rok wyplacenia ostatniej raty
"""EKO-BIOMASA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ","Wzrost efektywności i dywersyfikacja produkcji brykietu z biomasy na cele energetyczne
",Regionalny Program Operacyjny Województwa Świętokrzyskiego,"1.1. Bezpośrednie wsparcie sektora mikro, małych i średnich przedsiębiorstw",,"549,000.00","202,050.00",2009,2010
"""Ekomax "" Spółka z.o.o",Innowacyjne technologie w recyklingu odpadowych rozpuszczalników ,Regionalny Program Operacyjny Województwa Śląskiego,1.2. Mikroprzedsiębiorstwa i MŚP,1.2.2. Małe i Średnie Przedsiębiorstwa,"1,833,294.00","749,997.57",2008,2010
"""EKO-PLAST"" Spółka Jawna Bronisława, Grzegorz i Józef Kaczmarek ",Wprowadzenie energooszczędnych okien z PCW za pomocą innowacyjnej linii technologicznej – szansą wzrostu konkurencyjności przedsiębiorstwa EKO-PLAST w Czepinie,Regionalny Program Operacyjny Województwa Zachodniopomorskiego,1.1. Wzrost konkurencyjności przedsiębiorstw poprzez innowacyjne inwestycje,1.1.2. Inwestycje w małe i średnie przedsiębiorstwa,"407,785.00","200,550.00",2008,2010
"""EKO-PROFIL"" Tomasz i Piotr Gryckiewicz Spółka Jawna",Poprawa konkurencyjności poprzez zakup koparko-ładowarki z młotem wyburzeniowym,Regionalny Program Operacyjny Województwa Podlaskiego,1.4 Wsparcie inwestycyjne przedsiębiorstw,1.4.2 Małe i średnie przedsiębiorstwa,"467,440.87","191,574.13",2009,2010
"""EKSPERT - SITR"" Okręgowy Ośrodek Rzeczoznawstwa i Doradztwa Technicznego Spółka z o.o.",Stanowienie prawa miejscowego na szczeblu gminy w zakresie wykorzystania niekonwencjonalnych i odnawialnych źródeł energii z uwzględnieniem walorów ekologicznych i gospodarczych  terenu,Program Operacyjny Kapitał Ludzki,5.2. Wzmocnienie potencjału administracji samorządowej,5.2.1 Modernizacja zarządzania w administracji samorządowej,"846,500.06","801,481.19",2008,2010
"""EKSPRESS PCV SOKÓŁKA"" Spółka z ograniczoną odpowiedzialnością",Uruchomienie procesu i usługi okleinowania i gięcia profili okiennych PCV,Regionalny Program Operacyjny Województwa Podlaskiego,1.4 Wsparcie inwestycyjne przedsiębiorstw,1.4.2 Małe i średnie przedsiębiorstwa,"328,302.00","126,477.00",2009,2010
"""ELMETRON"" R. i A. Olszewscy, E. i M. Jędrzejczyk spółka jawna","Udział w wystawie ACHEMA 2009 - 29 Międzynarodowa Wystawa-Kongres Inżynierii Chemicznej, Ochrony  Środowiska i Biotechnologii",Regionalny Program Operacyjny Województwa Śląskiego,1.2. Mikroprzedsiębiorstwa i MŚP,1.2.2. Małe i Średnie Przedsiębiorstwa,"35,000.00","15,372.86",2008,2010
"""ELTRON-KABEL"" SPÓŁKA JAWNA KRZYSZTOF RUTKOWSKI, TADEUSZ RUTKOWSKI","Zakup nowoczesnej, zaawansowanej technologicznie, sterowanej komputerowo linii technologicznej do produkcji przewodów ciepłoodpornych w izolacji silikonowej",Regionalny Program Operacyjny Województwa Śląskiego,1.2. Mikroprzedsiębiorstwa i MŚP,1.2.2. Małe i Średnie Przedsiębiorstwa,"1,589,660.00","749,876.50",2008,2010
"""ELTRON-KABEL"" SPÓŁKA JAWNA WIESŁAW GLUZA, KRZYSZTOF RUTKOWSKI, TADEUSZ RUTKOWSKI",Udział Spółki Eltron-Kabel w Międzynarodowych Targach ELCOM 2009 -  Energetyka i Elektrotechnika Kijów - Ukraina jako wystawca w celu zwiększenia eksportu i zaistnienia na rynkach wschodnich,Regionalny Program Operacyjny Województwa Śląskiego,1.2. Mikroprzedsiębiorstwa i MŚP,1.2.2. Małe i Średnie Przedsiębiorstwa,"38,954.00","15,029.41",2008,2010
"""ELTRON-KABEL"" SPÓŁKA JAWNA WIESŁAW GLUZA, KRZYSZTOF RUTKOWSKI, TADEUSZ RUTKOWSKI",Udział Spółki Eltron-Kabel w Międzynarodowych Targach Elektrotechniki i Elektroniki AMPER 2009 jako wystawca w celu zwiększenia eksportu i zaistnienia na nowych rynkach,Regionalny Program Operacyjny Województwa Śląskiego,1.2. Mikroprzedsiębiorstwa i MŚP,1.2.2. Małe i Średnie Przedsiębiorstwa,"22,204.00","8,970.23",2008,2010
"""EMAT"" Pośrednictwo, Doradztwo, Pracownia Psychologiczna Elżbieta Matysiak","""Prawo jazdy - moją szansą, twoim bezpieczeństwem""",Program Operacyjny Kapitał Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"49,001.00","48,892.71",2008,2010
"""EM-HURT"" EWA NOWOSIELSKA MAREK FURGAŁ SPÓŁKA JAWNA","Wzrost konkurencyjności firmy EM-HURT dzięki racjonalnemu zarządzaniu zasobami poprzez wprowadzenie innowacyjnych technologii informatycznych w oddziałach firmy w Sanoku, Brzozowie i Strzyżowie ",Regionalny Program Operacyjny Województwa Podkarpackiego,1.1. Wsparcie kapitałowe przedsiębiorczości,,"48,003.27","25,617.86",2008,2010
"""Energo-Complex"" Sp. z o.o.","Poprawa konkurencyjności firmy ""Energo-Complex"" Sp. z o.o. na rynku polskim i europejskim poprzez wprowadzenie nowoczesnych technologii diagnostycznych",Regionalny Program Operacyjny Województwa Śląskiego,1.2. Mikroprzedsiębiorstwa i MŚP,1.2.2. Małe i Średnie Przedsiębiorstwa,"331,840.00","160,989.66",2008,2010
"""Enter ""Ośrodek Edukacyjno - Szkoleniowy  Barbara Wolska",Szansa 50+,Program Operacyjny Kapitał Ludzki,7.2. Przeciwdziałanie wykluczeniu i wzmocnienie sektora ekonomii społecznej,7.2.1 Aktywizacja zawodowa i społeczna osób zagrożonych wykluczeniem społecznym,"175,864.00","174,166.93",2008,2009
"""EUROCONSULT"" Biuro Handlowe Zdzisław Lara",Nowa Szansa z Certyfikatem.,Program Operacyjny Kapitał Ludzki,6.1. Poprawa dostępu do zatrudnienia oraz wspieranie aktywności zawodowej w regionie,6.1.1 Wsparcie osób pozostających bez zatrudnienia na regionalnym rynku pracy,"983,569.20","913,928.58",2008,2010
"""EUROCONSULT"" Biuro Handlowe Zdzisław Lara",Angielski - Twoim być albo nie być na rynku pracy.,Program Operacyjny Kapitał Ludzki,8.1. Rozwój pracowników i przedsiębiorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsiębiorstw,"926,980.00","898,693.34",2008,2010
"""EUROCONSULT"" Biuro Handlowe Zdzisław Lara",Moja Kariera - Będzie lepiej,Program Operacyjny Kapitał Ludzki,8.1. Rozwój pracowników i przedsiębiorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsiębiorstw,"973,943.96","945,680.66",2008,2010
"""EUROCONSULT"" Biuro Handlowe Zdzisław Lara",Moja Kariera - Krok w dobrą stronę,Program Operacyjny Kapitał Ludzki,8.1. Rozwój pracowników i przedsiębiorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsiębiorstw,"923,275.15","896,343.10",2008,2010
"""EUROCONSULT"" Biuro Handlowe Zdzisław Lara",KOMPUTER w kroplówce,Program Operacyjny Kapitał Ludzki,8.1. Rozwój pracowników i przedsiębiorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsiębiorstw,"877,988.00","826,717.33",2008,2010
"""EVENT"" - Firma szkoleniowa Jolanta Niziołek","Młody Europejczyk - porozumiem się z każdym, dodatkowe zajęcia z języka angielskiego dla uczniów szkół podstawowych",Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dostępie do edukacji oraz zmniejszanie różnic w jakości usług edukacyjnych,"150,391.00","144,329.13",2008,2009
"""EWA"" Sp. Cywilna Jacek Samonek i Mariola Kosmowska ul. Lubelska",Nowe kwalifikacje-nową szansą,Program Operacyjny Kapitał Ludzki,8.1. Rozwój pracowników i przedsiębiorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsiębiorstw,"998,800.00","993,725.34",2008,2009
"""EXPOM"" Spółka z ograniczoną odpowiedzialnością",Zwiększenie konkurencyjności przedsiębiorstwa EXPOM poprzez nabycie innowacyjnych rozwiązań technologicznych.,Regionalny Program Operacyjny Województwa Łódzkiego,III.2. Podnoszenie innowacyjności i konkurencyjności przedsiębiorstw,,"2,152,768.41","1,220,600.85",2008,2009
"""EXTERNAL SERVICES"" spółka z ograniczoną odpowiedzialnością","Rozszerzenie zakresu oferowanych przez ""EXTERNAL SERVICES"" sp. z o.o. usług poprzez wprowadzenie nowego produktu ""Easy Pay""",Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013,Działanie 1.2. Wsparcie rozwoju MSP,Schemat I: Projekty inwestycyjne,"716,163.67","263,779.98",2008,2010
"""FEERUM"" Spółka Akcyjna","Wdrożenie innowacyjnej technologii produkcji w ""FEERUM"" S.A.",Regionalny Program Operacyjny Województwa Dolnośląskiego,1.1. Inwestycje dla przedsiębiorstw,,"4,996,042.74","1,496,488.95",2009,2010
"""FEMMES DE BEAUTE"" Zagórscy s.j.","""NISza"" Nie Ignoruj Szansy",Program Operacyjny Kapitał Ludzki,6.1. Poprawa dostępu do zatrudnienia oraz wspieranie aktywności zawodowej w regionie,6.1.1 Wsparcie osób pozostających bez zatrudnienia na regionalnym rynku pracy,"998,431.97","999,299.33",2008,2010
"""FEMMES DE BEAUTE"" Zagórscy s.j.","""NISza"" Nie Ignoruj Szansy",Program Operacyjny Kapitał Ludzki,6.1. Poprawa dostępu do zatrudnienia oraz wspieranie aktywności zawodowej w regionie,6.1.1 Wsparcie osób pozostających bez zatrudnienia na regionalnym rynku pracy,"799,670.00","798,289.48",2008,2009
"""Fenix"" s.c. Michał Zakrzewski, Sabina Czajkowska",Wzrost konkurencyjności na bazie nowoczesnej technologii i nowych usług,Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013,Działanie 1.2. Wsparcie rozwoju MSP,Schemat I: Projekty inwestycyjne,"66,159.38","32,537.40",2008,2010
"""Firma POSIADAŁO"" sp.j.",Uruchomienie produkcji elementów wibroprasowanych z wykorzystaniem technologii wytwarzania betonu ciężkiego,Program Operacyjny Innowacyjna Gospodarka,4.4. Nowe inwestycje o wysokim potencjale innowacyjnym,,"13,432,203.80","6,492,587.08",2008,2010
"""FKS"" Okucia Okienne i Drzwiowe Spółka z organiczoną odpowiedzialnością",Innowacyjne rozwiązania z zakresu automatyki i robotyki w produkcji okuć okiennych i drzwiowych,Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013,Działanie 1.2. Wsparcie rozwoju MSP,Schemat I: Projekty inwestycyjne,"2,333,199.40","1,152,569.17",2008,2010
"""FPHU WESOŁOWSKI"" Przemysław Wesołowski",Rozbudowa farmy wiatrowej w Chromowoli gmina Koneck,Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,5.2. Wsparcie inwestycji przedsiębiorstw,5.2.1. Wsparcie inwestycji mikroprzedsiębiorstw,"524,876.94","299,437.99",2008,2009
"""FULL-CHEM"" PIOTR I DOROTA PANASIUK SPÓŁKA JAWNA",Wzrost konkurencyjności firmy poprzez wprowadzenie nowych usług - myjni samochodowej.,Regionalny Program Operacyjny Województwa Lubelskiego,1.1. Dotacje dla nowopowstałych mikroprzedsiebiorstw,,"669,057.18","284,250.00",2008,2009
"""GAMP"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Outsourcing aplikacji B2B w oparciu o centrum przetwarzania danych DATA CENTER,Program Operacyjny Innowacyjna Gospodarka,8.2. Wspieranie wdrażania elektronicznego biznesu typu B2B,,"582,873.31","408,011.31",2009,2010
"""Genesis"" Arkadiusz Wołoch,Justyna Wołoch Spółka Cywilna w Zamościu",Uruchomienie nowej przychodni stomatologicznej Genesis w Zamościu zwiekszającej dostęp do usług stomatologicznych,Regionalny Program Operacyjny Województwa Lubelskiego,1.1. Dotacje dla nowopowstałych mikroprzedsiebiorstw,,"600,411.56","339,363.63",2008,2010
"""Geometr"" Zakład Usług Geodezyjnych ","Wdrożenie innowacyjnej technologii oraz stworzenie nowych usług w celu poprawy konkurencyjności firmy ""Geometr"" na rynku lokalnym, regionalnym i krajowym.
",Regionalny Program Operacyjny Województwa Świętokrzyskiego,"1.1. Bezpośrednie wsparcie sektora mikro, małych i średnich przedsiębiorstw",,"231,190.00","100,710.00",2009,2010
"""GIERA"" ZNAKI DROGOWE MICHAŁ GIERA KRYSTYNA GIERA SPÓŁKA JAWNA",Zakup specjalistycznego zestawu do montażu barier drogowych,Regionalny Program Operacyjny Województwa Warmińsko-Mazurskiego,1.1.Wzrost konkurencyjności przedsiębiorstw,1.1.9. Inne inwestycje w przedsiębiorstwa,"1,667,130.00","683,250.00",2008,2009
"""Gimnazjum nr 2 im. Ks. Zygfryda Berezeckiego w Chełmie","Uwierzyć w siebie to móc wiele osiągnąć- program terapeutyczno-psychologiczny dla uczniów zagrożonych wypadnięciem z systemu oświaty. Szkolny Ośrodek Kariery drogą do fortunnego wyboru szkoły i zawodu
",Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dostępie do edukacji oraz zmniejszanie różnic w jakości usług edukacyjnych,"331,380.24","330,559.99",2008,2010
"""Gold-Tom"" Tomasz Bednarski",Wzrost konkurencyjnosci Przedsiebiorstwa Gold-Tom przez wdrozenie innowacyjnej technologii produkcji obraczek.,Regionalny Program Operacyjny Województwa Warmińsko-Mazurskiego,1.1.Wzrost konkurencyjności przedsiębiorstw,1.1.7. Dotacje inwestycyjne dla mikroprzedsiębiorstw i sektora MŚP w zakresie innowacji i nowych technologii,"183,000.00","66,160.03",2009,2010
"""GOM"" Spółka Jawna Marian Obuchowicz, Grzegorz Obuchowicz",Wzrost konkurencyjności firmy GOM sp. j. z siedzibą w Dywitach działającej w branży meblarskiej poprzez zakup nowych maszyn i urządzeń.,Regionalny Program Operacyjny Województwa Warmińsko-Mazurskiego,1.1.Wzrost konkurencyjności przedsiębiorstw,1.1.9. Inne inwestycje w przedsiębiorstwa,"523,183.94","214,419.65",2008,2010
"""GOS""S. C. Juliusz Grodzicki, Barbara Michałkiewicz-Osmola, Andrzej Szwarczyński","Umocnienie pozycji rynkowej S.C. GOS poprzez działania inwestycyjne
",Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013,Działanie 1.2. Wsparcie rozwoju MSP,Schemat I: Projekty inwestycyjne,"69,936.42","31,275.00",2008,2010
"""GRADAM PRZYGODZIŃSCY"" Adam Przygodziński","Profesjonalny system drukujący, kopiujący i skanujący w kolorze od formatu A-3 do A-0 w Bydgoszczy.",Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,5.2. Wsparcie inwestycji przedsiębiorstw,5.2.1. Wsparcie inwestycji mikroprzedsiębiorstw,"126,355.40","72,499.00",2008,2009
"""HARRISDENT"" Bożena Harris",Podniesienie jakości usług Gabinetu HARRISDENT w Tychach poprzez modernizację firmy oraz wdrożenie nowych usług w zakresie radiowizjografii i implantologii.,Regionalny Program Operacyjny Województwa Śląskiego,1.2. Mikroprzedsiębiorstwa i MŚP,1.2.1. Mikroprzedsiębiorstwa,"138,900.00","81,660.61",2008,2010
"""HELLO"" NAUKA JĘZYKÓW OBCYCH JAROSŁAWA NOREK",Szkoła Języków Obcych w Wąglikowicach - Budowa silnej pozycji przedsiębiorstwa na rynku.,Regionalny Program Operacyjny Województwa Pomorskiego,"1.1. Mikro, małe i średnie przedsiębiorstwa",1.1.1. Mikroprzedsiębiorstwa,"153,671.20","85,786.04",2008,2010
"""Hemil"" Mariusz Zarzycki","Zakup środków trwałych w celu rozbudowy przedsiębiorstwa ""HEMIL"" Mariusz Zarzycki. ",Regionalny Program Operacyjny Województwa Lubelskiego,1.1. Dotacje dla nowopowstałych mikroprzedsiebiorstw,,"107,970.00","75,579.00",2008,2009
"""HEWALEX"" SKIBA LESZEK",Udział firmy HEWALEX w międzynarodowych targach odnawialnych źródeł energii w Mediolanie,Regionalny Program Operacyjny Województwa Śląskiego,1.2. Mikroprzedsiębiorstwa i MŚP,1.2.2. Małe i Średnie Przedsiębiorstwa,"98,027.00","32,205.92",2009,2010
"""HRP Czerneska, Jaszczyński"" Spółka Jawna",Mama w pracy - społeczne uwarunkowania procesu powrotu kobiet na rynek pracy po przerwie związanej z wychowaniem dziecka,Program Operacyjny Kapitał Ludzki,6.1. Poprawa dostępu do zatrudnienia oraz wspieranie aktywności zawodowej w regionie,6.1.1 Wsparcie osób pozostających bez zatrudnienia na regionalnym rynku pracy,"210,592.23","208,529.19",2008,2010
"""HYDREM"" Spólka Cywilna Jacek Szafarczyk, Janusz Bik","Podniesienie konkurencyjności „HYDREM” S. C. Jacek Szafarczyk, Janusz Bik poprzez zakup nowoczesnego centrum tokarsko - frezarskiego",Regionalny Program Operacyjny Województwa Małopolskiego,2.1. Rozwój i podniesienie konkurencyjności przedsiębiorstw,Schemat A: Bezpośrednie wsparcie inwestycji w  MŚP,"1,220,854.00","400,280.00",2008,2009
"""HYDREM"" Spólka Cywilna Jacek Szafarczyk, Janusz Bik","Zakup aparatury badawczo rozwojowej na potrzeby firmy „HYDREM” S. C.
Jacek Szafarczyk, Janusz Bik
",Regionalny Program Operacyjny Województwa Małopolskiego,2.2. Wsparcie komercjalizacji badań naukowych,Schemat B: Projekty inwestycyjne przedsiębiorstw z zakresu B +R,"79,300.00","30,257.71",2009,2009
"""HYDROBUD-PRZEWORSK"" Spółka z ograniczoną odpowiedzialnością",Wzrost konkurencyjności przedsiębiorstwa „Hydrobud-Przeworsk” Sp. z o.o. poprzez zakup przecinarki do cięcia tlenowego i plazmowego blach.,Regionalny Program Operacyjny Województwa Podkarpackiego,1.1. Wsparcie kapitałowe przedsiębiorczości,,"340,064.02","181,181.65",2008,2010
"""Instytut Innowacji""",E-learning dla NGOs,Program Operacyjny Kapitał Ludzki,7.2. Przeciwdziałanie wykluczeniu i wzmocnienie sektora ekonomii społecznej,7.2.2 Wsparcie ekonomii społecznej,"343,150.00","343,150.00",2008,2010
"""INTEGRATOR RHC"" Spólka z ograniczoną odpowiedzialnością.","Poprawa konkurencyjności firmy „INTEGRATOR RHC” poprzez udział jako wystawca w targach „Innowacje – Technologie – Maszyny – Polska 2009” (Poznań, Polska, 16-19.06.2009).",Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,5.5. Promocja i rozwój markowych produktów,,"52,123.93","20,638.97",2009,2010
"""IWA"" Spółka z ograniczoną odpowiedzialnością",Rozbudowa Hotelu Żubrówka o budynek H (basen i część hotelowa) w Białowieży.,Regionalny Program Operacyjny Województwa Podlaskiego,3.2 Wsparcie inwestycyjne przedsiębiorstw z branży turystycznej,3.2.2 Małe i średnie przedsiębiorstwa,"14,234,926.37","4,053,792.33",2008,2010
"""JANI FITNESS FUN"" - Janiczek Beata",zakup nowoczesnego sprzętu do ćwiczeń siłowych i rehabilitacyjnych szansą na rozwój przedsiębiorstwa,Regionalny Program Operacyjny Województwa Śląskiego,1.2. Mikroprzedsiębiorstwa i MŚP,1.2.1. Mikroprzedsiębiorstwa,"50,264.00","24,720.00",2008,2009
"""JANTAR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ""",Technologicznie zaawansowana linia do produkcji etykiet z tagiem typu RFID,Regionalny Program Operacyjny Województwa Śląskiego,1.2. Mikroprzedsiębiorstwa i MŚP,1.2.2. Małe i Średnie Przedsiębiorstwa,"386,130.00","158,250.00",2008,2010
"""JARMEX"" Adam Kasprzak spółka jawna",Projekt poprawy konkurencyjności firmy poprzez inwestycje – zakup i uruchomienie nowej linii technologicznej do produkcji opakowań .,Regionalny Program Operacyjny Województwa Śląskiego,1.2. Mikroprzedsiębiorstwa i MŚP,1.2.1. Mikroprzedsiębiorstwa,"475,800.00","194,870.04",2008,2010
"""JM GROUP"" spółka z ograniczoną odpowiedzialnością",Udział w targach TITAS 2009 jako wystawca,Regionalny Program Operacyjny Województwa Śląskiego,1.2. Mikroprzedsiębiorstwa i MŚP,1.2.1. Mikroprzedsiębiorstwa,"101,260.00","47,039.63",2009,2010
"""Jorge"" spółka z ograniczoną odpowiedzialnością",Odnowienie Certyfikatu ISO według wymagań nowej normy ISO 9001:2008.,Regionalny Program Operacyjny Województwa Lubuskiego,2.3 Poprawa konkurencyjności przedsiębiorstw poprzez doradztwo i wsparcie działań marketingowych.,,"80,062.50","29,750.00",2009,2010
"""Jorge"" spółka z ograniczoną odpowiedzialnością",Doradztwo w zakresie kontroli jakości wyrobów oznaczonych znakiem CE.,Regionalny Program Operacyjny Województwa Lubuskiego,2.3 Poprawa konkurencyjności przedsiębiorstw poprzez doradztwo i wsparcie działań marketingowych.,,"75,030.00","27,533.55",2009,2010
