Województwo,Numer i nazwa Priorytetu,Numer i nazwa Dzia_ania,Nazwa beneficjenta,Tytu_ projektu,Data rozpocz_cia realizacji projektu,Data zako_czenia realizacji projektu,Data podpisania umowy,Warto_ci ogó_em projektu
,,,Combidata Poland sp. z o.o.,POCZTA_PRO,10-Oct-13,1-Oct-14,10-Oct-13,4724850.09
,,,Conart Sp. z o.o.,Podniesienie umiej_tno_ci i kwalifikacji kadr Business Consulting,2-Nov-13,1-Jul-15,1-Dec-13,874170.96
,,,,Stawiamy na jako__,2-Dec-12,1-Jun-14,16-Dec-12,460712.8
,,,,Panie prosz_ Panów...jak ró_nice p_ci buduj_ organizacj_,2-Nov-13,1-Mar-15,1-Dec-13,645100.22
,,,Conart sp. z o.o.,Nowoczesne kadry nowoczesnego przedsi_biorstwa,2-Dec-12,1-Jun-14,16-Dec-12,413548.4
,,,Concordia Polska Towarzystwo Ubezpiecze_ Wzajemnych,Rozwój kadr Concordia Polska TUW podstaw_ budowania przewagi konkurencyjnej,6-Jan-13,1-Jul-14,25-Dec-12,1336406.28
,,,"""CS Szkolenie i Doradztwo"" Sp. z o.o.",Doskonalenie wizerunku Spó_ki PKP Przewozy Regionalne poprzez rozwój kompetencji kadr,2-Nov-13,1-Nov-15,28-Oct-13,1323685.69
,,,,Wykwalifikowana kadra drog_ do wzrostu pozycji firmy na rynku us_ug telekomunikacyjnych,2-Jan-13,1-Jul-14,30-Dec-12,2867567.8
,,,Dalkia Polska S.A.,"Jutro Dalkii Polska: do_wiadczenie, zaanga_owanie, kwalifikacje Pracowników",1-Oct-13,30-Sep-15,2-Oct-13,3102537.55
,,,Danone sp. z o.o.,Vademecum - program indywidualnego rozwoju pracowników w Danone,3-Jan-13,1-Jan-15,31-Dec-12,4284339.96
,,,Demos Polska Sp z o.o.,Akademia Veolia Transport - Jako__ gwarancj_ sukcesu konkurencyjno_ci przedsi_biorstwa,2-Jan-13,1-Jan-14,19-Dec-12,969892
,,,,Akademia rozwoju Veolia Us_ugi dla _rodowiska - w trosce o jako__ _wiadczonych us_ug,2-Jan-13,1-Jun-14,31-Dec-12,1291641.82
,,,Diagnostyka Spó_ka z ograniczon_ odpowiedzialno_ci_ spó_ka komandytowa,Rozwi_ skrzyd_a ? program rozwoju kadr firmy Diagnostyka,2-Nov-13,1-May-15,28-Oct-13,2686647.32
,,,Dolno_l_ska Szko_a Bankowa Sp. z o.o.,Bezpieczne lotniska przysz_o_ci,6-Jan-13,6-Jan-15,30-Dec-12,8691647.65
,,,DOMATOR Sp. z o.o.,Budowanie konkurencyjno_ci w oparciu o strategi_ - program szkole_ dla Grupy firm DOMATOR Sp. z o.o i AVANS Sp. z o.o.,2-Jan-13,1-Jan-15,31-Dec-12,5730147.61
,,,DOOR POLAND S.A.,"""Pro-aktywno__ i otwarto__ na innowacje-szkolenia dla pracowników grupy Statoil""",16-Dec-12,15-Dec-14,16-Dec-12,2776554.55
,,,,"""Kreowanie postaw kadr Grupy Johnson&Johnson dla strategii innowacji""",16-Dec-12,15-Dec-14,16-Dec-12,4899883.01
,,,,"""Przede wszystkim cz_owiek - wykwalifikowana kadra fundamentem rozwoju przedsi_biorstwa WARBUD S.A""",16-Dec-12,15-Dec-14,16-Dec-12,5276133.12
,,,,Rozwój kompetencji i zwi_kszenie skuteczno_ci pracowników  Pentor RI,16-Dec-12,15-Dec-14,16-Dec-12,1906997.58
,,,,"""KOMPETENCJE PODSTAW_ EFEKTYWNO_CI-SZKOLENIA DLA PRACOWNIKÓW DHL""",16-Dec-12,15-Dec-14,16-Dec-12,2229651.06
,,,DOOR Poland S.A.,"""Profesjonalna kadra sukcesem LUKAS Banku?",2-Nov-13,1-Nov-15,3-Nov-13,1774285.9
,,,DORADCA Consultants Ltd.,Przygotowanie do certyfikacji z zarz_dzania projektami zgodnie z metodyk_ PMI (blended learning),3-Nov-13,2-Nov-15,3-Nov-13,3661529.84
,,,DORADCA Consultants Ltd.  Sp. z o.o.,Przygotowanie do certyfikacji z zarz_dzania projektami (blended learning),4-Nov-12,31-Oct-14,14-Mar-13,2713815.48
,,,Doradztwo Gospodarcze DGA S.A.,Profesjonalna kadra Mix Electronics S.A. _ród_em zadowolenia klientów,2-Jan-13,1-Oct-14,18-Dec-12,2805723.46
,,,,Kompetentni pracownicy podstaw_ sukcesu Grupy Goodyear Polska,3-Nov-13,2-Nov-15,3-Nov-13,3582924.4
,,,Doradztwo Gospodarcze PMC krzysztof Bajo_ski,Kadry przysz_o_ci. Program szkole_ dla pracowników przedsi_biorstw.,3-Jan-13,1-Jan-15,25-Dec-12,562913.5
,,,Dorken Delta Folie,Akademia Dorken,16-Oct-13,15-Jul-15,16-Oct-13,2551861.31
,,,dr Zdrowie S.A.,Wykwalifikowane kadry szans_ rozwoju Dr Zdrowie,3-Nov-13,1-Nov-15,28-Oct-13,1633239.55
,,,DZ BANK Polska Spó_ka Akcyjna,Wy_sze kompetencje - wy_sza konkurencyjno__. Adaptacja kompetencji pracowników DZ BANK Polska do zmian rynkowych i gospodarczych w celu podniesienia konkurencyjno_ci firmy.,2-Jan-13,1-Jun-14,25-Dec-12,1133030
,,,EADS PZL ?Warszawa-Ok_cie? S.A.,Nowe kwalifikacje pracowników,17-Oct-13,15-Oct-15,17-Oct-13,2656180.5
,,,Eden Springs Spó_ka z ograniczon_ odpowiedzialno_ci_,Akademia Eden,2-Oct-13,1-Oct-15,2-Oct-13,4124609.45
,,,Edukacja Bez Granic,Profesjonalna obs_uga - nowoczesne technologie,16-Dec-12,15-Dec-14,16-Dec-12,689117.9
,,,"""Edukacja dla Przedsi_biorczo_ci""",Studia podyplomowe dla przedsi_biorców i pracowników przedsi_biorstw,2-Jan-13,1-Jan-15,31-Dec-12,15201763
,,,EKSPERT Organizacja Szkole_ Maciej Mrozek,PROFESJONALI_CI - szkolenia dla kadr nowoczesnych przedsi_biorstw,2-Nov-13,1-Nov-15,28-Oct-13,1458650
,,,Energomonta_ Pó_noc SA,"Edukacja, integracja i rozwój pracowników wszystkich szczebli wybranych spó_ek grupy Energomonta_ Pó_noc SA.",2-Nov-12,31-Oct-14,30-Dec-12,4973527.44
,,,Euro Bank S.A.,"Dynamiczny rozwój zawodowy m_odych ludzi wchodz_cych na rynek pracy, poprzez sta_y wzrost kompetencji w celu osi_gni_cia najszybszej obs_ugi klienta z zachowaniem najwy_szych standardów jako_ci",3-Jan-13,1-Jul-14,31-Dec-12,4602824
,,,Europejskie Centrum Doradztwa Finansowego - Mariusz K_obucki,"AUDYTOR ENERGETYCZNY - szkolenia dla mikro, ma_ych, _rednich i du_ych przedsiebiorstw",2-Jan-14,1-Jan-16,28-Oct-13,2090445
,,,Europejskie Centrum Przedsiebiorczo_ci Sp. zo.o.,Akademia General Motors,2-Nov-13,1-Nov-15,28-Oct-13,3815073.65
,,,,Akademia wiedzy i umiej_tno_ci pracowników Deutsche Bank PBC S.A.,2-Oct-13,1-Oct-15,25-Sep-13,4959705.07
,,,,Doskonalenie kwalifikacji agentów Deutsche Bank PBC S.A,2-Oct-13,1-Oct-15,25-Sep-13,3149365.91
,,,Europrofes sp. z o. o.,Komunikacja biznesowa bez barier - szkolenia mi_kkie w j_zyku angielskim,2-Jan-14,1-Dec-14,30-Dec-13,440758
,,,EVEREST Krzysztof Nowi_ski,Podnoszenie kompetencji j_zykowych pracowników 4 spó_ek Grupy Maspex Wadowice,2-Oct-13,1-Oct-15,2-Oct-13,706124
,,,F5 Konsulting Sp. z o.o.,Klient nasz Pan - szkolenia dla pracowników ORBIS S.A.,2-Nov-13,1-Nov-14,28-Oct-13,1096502
,,,,Rozwój pracowników rozwojem firmy - szkolenia dla pracowników Vetoquinol Biowet sp. z o.o.,3-Jan-13,1-Jun-14,25-Dec-12,2206216
,,,,Szkolenia pracowników sukcesem Twojej firmy,3-Jan-13,1-Apr-14,31-Dec-12,1171631.95
,,,,Akademia wiedzy i umiej_tno_ci Amica - szkolenie dla kadry mened_erskiej i pracowników Amica Wronki SA,3-Jan-13,1-Jan-15,25-Dec-12,2491279.56
,,,,Rozwój jak na dro_d_ach - szkolenia dla pracowników firm Lesaffre Polska SA i Gospodarstwa Rolnego EKO sp. z o.o.,2-Jan-13,1-May-14,25-Dec-12,602046.04
,,,F5 Konsulting sp. z o.o.,Zaprojektuj sukces - certyfikacja kompetencji projektantów,2-Jan-13,1-Apr-14,31-Dec-12,1286929.2
,,,,Efektywno__ i skuteczno__ w obs_udze klienta - szkolenia dla pracowników ORBIS SA,3-Jan-13,1-Aug-13,19-Dec-12,1105725.74
,,,,Nowe uprawnienia pracowników szans_ na rozwój polskich przedsi_biorstw,3-Jan-13,1-May-14,31-Dec-12,1217962.24
,,,Finamo SA,Program rozwoju kadr mened_erskich i doradczych Finamo SA,2-Oct-13,1-Oct-15,2-Oct-13,2372290.24
,,,Firma 2000,Zwi_kszenie konkurencyjno_ci niezale_nego rynku motoryzacyjnego w Polsce,2-Jan-13,1-Jan-15,16-Dec-12,3380210.96
,,,FIRMA 2000 Sp. z o.o.,Studia podyplomowe z zakresu elektrotechniki i walidacji,2-Nov-13,1-Nov-15,3-Nov-13,986290.68
,,,,STREFA MECHATRONIKI,2-Nov-13,1-Nov-15,28-Oct-13,2378674.14
,,,Fortis Bank Polska SA,ARKa - Akademia Rozwoju Kompetencji,17-Mar-13,16-Jan-15,12-Mar-13,5446007
,,,Forum Zwi_zków Zawodowych ,Modyfikowanie kultury organizacji w procesie restrukturyzacji  przedsi_biorstw. ,2-Jan-13,1-Apr-14,31-Dec-12,807940
,,,FPL Spó_ka z ograniczon_ odpowiedzialno_ci_,Rozwój kadry menad_erskiej i pracowników INVEST BANK S.A. jako czynnik wzrostu konkurencyjno_ci banku,16-Apr-13,15-Apr-15,1-Apr-13,2477128.54
,,,,Zacznijmy budowa_ od siebie - program rozwoju kadr Grupy KNAUF,16-Dec-12,15-Dec-14,19-Dec-12,2745084.26
,,,,Wzrost konkurencyjno_ci Grupy APATOR poprzez rozwój kompetencji jej pracowników,16-Dec-12,15-Dec-14,19-Dec-12,1739266.32
,,,,Najwa_niejszy jest cz_owiek - program rozwoju kadr firmy TRW,11-Dec-12,10-Dec-14,18-Dec-12,6280271.78
,,,Fundacja Cracovitalia,Ró_nice kulturowe w negocjacjach biznesowych,2-Oct-13,1-Oct-14,2-Oct-13,1063544.33
,,,Fundacja Edukacji Ekonomicznej,Mediacje i Negocjacje dla Prawników,2-Oct-13,1-Oct-15,2-Oct-13,7825392.44
,,,Fundacja Obserwatorium Zarz_dzania,Profesjonalny Mened_er E-biznesu,2-Nov-13,1-Oct-15,28-Oct-13,3021623.96
,,,Fundacja Rozwoju Diagnostyki Laboratoryjnej,Nowoczesne Laboratorium Diagnostyczne NewLab,2-Jan-13,1-Aug-14,23-Dec-12,1521098
,,,Fundacja Warszawski Instytut Bankowo_ci,"Nordea - Stwarzamy mo_liwo_ci. Program rozwoju kompetencji pracowników, agentów, mened_erów.",2-Jan-13,1-Jan-14,24-Dec-12,780033.46
,,,,DoBRE inwestycje w kadry drog_ do rozwoju BRE Banku S.A.,25-Jun-12,10-Apr-14,16-Dec-12,2451785.28
,,,Galmet S.D.R. Galara spó_ka jawna,Nowoczesne technologie w systemach grzewczych dla odbiorców indywidualnych ? szkolenie dla pracowników i pracodawców z bran_y instalacyjnej.,2-Dec-13,1-Jun-15,1-Dec-13,606536.26
,,,Gaspol S.A.,Tworzenie nowej jako_ci obs_ugi klienta w oparciu o nowy profil lidera zespo_u oraz ci_g_y rozwój pracowników,3-Jan-13,1-Apr-14,31-Dec-12,2215818
,,,Gda_ska Fundacja Kszta_cenia Mened_erów,Wiedza i efektywna praca zespo_owa kierunkiem rozwoju innowacyjnych rozwi_za_ teleinformatycznych.,2-Jan-13,1-Jan-15,23-Dec-12,2293581.46
,,,,Wzmocnienie kapita_u ludzkiego Mostostal Chojnice S.A. w warunkach dynamicznego wzrostu,2-Jan-13,1-Jan-15,18-Dec-12,2364263.44
,,,,ZN@CZEK PP - Zintegrowany Nowoczesny Cykl Zawodowej Edukacji Kadr Poczty Polskiej,16-Dec-12,15-Aug-13,16-Dec-12,4914666.01
,,,,"Wiedza, innowacyjno__, jako__ trampolin_ do sukcesu firmy",2-Jan-13,1-Jan-15,23-Dec-12,6219474
,,,Gda_ska Fundacja kszta_cenia Mened_erów,Doceniony talent - International Paper Polska,2-Oct-13,1-May-15,29-Sep-13,783986.29
,,,,Droga do osi_gni_cia nowego standardu us_ug PKP Intercity - Podró_uj tak jak lubisz,2-Oct-13,1-Apr-15,1-Oct-13,1033884.35
,,,,"""Swedwood Akademia"" Rozwój umiej_tno_ci zawodowych i osobistych pracowników",2-Oct-13,1-Oct-15,30-Sep-13,5976234.65
,,,GDS ILLUMINATUS Bartosz Dagiel,Akademia Mened_era Hotelowego,2-Jan-13,1-Aug-14,31-Dec-12,967488.05
,,,Geofizyka Toru_ Spó_ka z o. o.,Geofizyka Toru_ liderem jako_ci us_ug geofizycznych,2-Jan-13,1-Mar-14,24-Dec-12,1234255.74
,,,G+J Gruner+Jahr Polska Sp. z o.o. & Co. Sp. komandytowa,"""Akademia G+J -inwestycje w pracownika szans_ lepszej konkurencyjno_ci firmy """,2-Oct-13,1-Oct-15,2-Oct-13,4040110.41
,,,Global Erisson Consulting Sp. z o.o.,Mi_dzynarodowe Standardy Rachunkowo_ci,1-Oct-13,1-Oct-14,1-Oct-13,1160431.43
,,,,Akademia Rachunkowo_ci,1-Oct-13,1-Jun-15,1-Oct-13,3556797.14
,,,Gospodarczy Bank Wielkopolski S.A.,Nowe kompetencje informatyczne wsparciem konkurencyjno_ci Banków Spó_dzieczych,2-Nov-13,1-Nov-15,28-Oct-13,2692246.6
,,,Grant Thornton Fr_ckowiak sp. z o.o.,Doskonalenie kompetencji w zakresie kszta_towania wyj_tkowych relacji z klientem i pracownikami – szkolenia i doradztwo w Grant Thornton Fr_ckowiak sp. z o.o.,16-Dec-12,15-Dec-14,16-Dec-12,2947680
,,,Gras Savoye Polska Sp. z o.o.,By_ konkurencyjnym czyli wiedzie_ i umie_,6-Oct-13,5-Nov-15,6-Oct-13,2283881.9
,,,Gre_ Communication Sp. z o.o.,Wiedza dla Sukcesu - Rozwój kompetencji kluczowych pracowników dla sukcesu firm w nowoczesnej gospodarce,3-Jan-13,1-Jan-14,31-Dec-12,1250248.4
,,,"GROW Galecki, Pietrzak S.J.",Rozwój kompetencji pracowników grupy motoryzacyjnej - synergia przez wspólne kompetencje,2-Jan-13,1-Jan-15,17-Dec-12,3554261.28
,,,,Kompleksowy rozwój kompetencji pracowników Grupy Edukacyjnej,16-Dec-12,15-Dec-14,16-Dec-12,2024767.24
,,,Grupa Onet.pl S.A.,Nowoczesny internetowy marketing w praktyce biznesowej - Akademia Onetu,2-Dec-13,1-Dec-15,1-Dec-13,2237821.72
,,,Grupa Pracuj Sp.z.o.o.,Akademia Rozwoju Pracowników Grupy Pracuj,2-Nov-13,1-Nov-15,28-Oct-13,3550923.86
,,,G.T.Mentor s.c.,Akademia ECO,2-Jan-13,1-Jan-15,25-Dec-12,3312961.84
,,,HANDLOPEX S.A.,Doskonalenie pracowników motorem rozwoju Firmy HANDLOPEX S.A.,2-Nov-13,1-Nov-15,28-Oct-13,991221.6
,,,HDS Polska Sp. z o.o.,Rozwój umiej_tno_ci i kompetencji pracowników HDS Polska,2-Jan-13,1-Jan-15,30-Dec-12,1102448
,,,,Akademia Profesjonalnych Punktów Sprzeda_y Detalicznej,2-Jan-13,1-Mar-14,25-Dec-12,926877.46
,,,Heuresis Certyfikowani Trenerzy i Konsultanci Zarz_dzania Sp. z o.o.,Poprawa produktywno_ci Zelmer S.A. poprzez kszta_towanie _wiadomo_ci procesowej kadr,2-Jan-13,1-Oct-14,23-Dec-12,3478808.55
,,,HOCHTIEF Polska Sp. z o.o.,Rozwój kadry in_ynierskiej oraz pracowników grup wsparcia Spó_ki HOCHTIEF Polska,2-Jan-13,1-Aug-14,20-Dec-12,1525190
,,,Hotele SPA Dr Irena Eris Sp. z o.o. ,Profesjonalizm Pi_kna - inwestycje w kompleksowy rozwój pracowników Hoteli SPA Dr Irena Eris,2-Jan-13,1-Jan-15,30-Dec-12,3362760.5
,,,House of Skills S.A.,Akademia Zarz_dzania NOMI,3-Jan-13,27-Feb-14,25-Dec-12,1212900
,,,,"""Akademia Rozwoju RBPL""",3-Nov-13,1-Oct-15,3-Nov-13,2966246.8
,,,,Program Rozwoju Kompetencji Mened_erskich,5-Jan-14,31-Dec-15,1-Jan-14,865342.2
,,,,"""Akademia Rozwoju Umiej_tno_ci""",2-Jan-13,18-Dec-14,25-Dec-12,4099914
,,,,?Strategia: Zachwycony klient?,3-Nov-13,1-Oct-15,3-Nov-13,4570462.8
,,,,"""Akademia Talentów""",3-Nov-13,1-Nov-15,15-Dec-13,1684293
,,,,Instytut Rozwoju Innowacji,5-Jan-14,1-Jan-16,1-Jan-14,965974.64
,,,,Akademia Rozwoju Kompetencji,3-Nov-13,1-Sep-15,3-Nov-13,2668350.2
,,,,"""Akademia Umiej_tno_ci  HJ Heinz Polska""",3-Jan-13,1-Jan-15,14-Mar-13,4248437.57
,,,,"""Inwestowanie w ludzi sukcesem przysz_o_ci - program rozwoju pracowników Bosch""",20-Jan-13,18-Dec-14,24-Dec-12,1623567
,,,,Skuteczny mened_er,3-Nov-13,1-Nov-15,3-Nov-13,1181345.8
,,,,?Jak sta_ si_  konkurencyjnym przedsi_biorc_-Akademia Innowacyjnej Sprzeda_y?,27-Jan-13,31-Jul-14,31-Dec-12,5954305
,,,,?Cz_owiek filarem sukcesu. Program rozwoju umiej_tno_ci oraz aktywnej postawy zawodowej pracowników i partnerów Grupy Kapita_owej Torfarm?,5-Jan-14,1-Nov-15,1-Jan-14,1583940.4
,,,,"""Silne przywództwo to lepsze wyniki?",3-Nov-13,1-Nov-15,3-Nov-13,3408509.2
,,,IDEA! Management Consulting Sp. z o.o.,Panaceum - Program Rozwoju Kapita_u Ludzkiego dla Grupy Teva Polska,2-Jan-13,1-Jun-14,30-Dec-12,4284198
,,,Indykpol S.A.,Doskonalenie kompetencji zawodowych pracowników Grupy Kapita_owej Indykpol S.A.,2-Nov-13,1-Nov-15,4-Dec-13,1029076.58
,,,INFOR PL,Strefa Wiedzy,2-Dec-13,1-Jun-15,2-Dec-13,3960242.5
,,,INSTAL-KONSORCJUM SP. Z O.O.,Akademia Sprzeda_y IK,3-Nov-13,2-Nov-15,27-Oct-13,3416204.6
,,,Instytut Organizacji Przedsi_biorstw i Technik Informacyjnych InBIT Sp. z o.o.,Rozwój kadry to rozwój firmy,17-Sep-13,16-Sep-15,17-Sep-13,4661454.7
,,,Instytut Projektów Personalnych Sp. z o.o.,"Nowoczesna kadra - projekt rozwoju pracowników Przedsi_biorstwa Pa_stwowego ""Porty Lotnicze""",2-Jan-13,1-Sep-14,31-Dec-12,1263436
,,,,Apteka XXI wieku,2-Jan-13,1-Jan-15,31-Dec-12,991754.56
,,,Instytut Rozwoju Biznesu Sp. z o.o.,Profesjonalna sprzeda_ ? program rozwoju kadr sprzeda_y i obs_ugi klienta BZ WBK,2-Oct-13,1-Oct-15,2-Oct-13,884652
,,,,Akademia Zarz_dzania Kapita_em Ludzkim,2-Nov-13,1-Nov-15,31-Oct-13,1050990.24
,,,Instytut Skutecznego Dzia_ania Ewa Grudzie_,Rozwój kompetencji i zwi_kszenie skuteczno_ci pracowników Sygnity Technology,9-Oct-13,1-Oct-14,9-Oct-13,708581.8
,,,Instytut Transportu Samochodowego,WZROST KOMPETENCJI KADRY O_RODKÓW SZKOLENIA KIEROWCÓW,2-Jan-14,1-Jul-15,1-Jan-14,4312073.66
,,,INTEGER.pl SA,Systemowy program podnoszenia kwalifikacji dla grupy przedsi_biorstw powi_zanych z INTEGER.pl,2-Jan-13,1-Jan-15,25-Dec-12,4985476.25
,,,INTEGRA CONSULTING Marek Ma_kowicz,Instalujemy kompetencje - Akademia TG,2-Jan-13,1-Jan-15,20-Dec-12,745442.9
,,,,Dobry menad_er - twój ulubiony,2-Jan-13,1-Jan-15,20-Dec-12,2100612.8
,,,,G_ód wiedzy - smak kompetencji,2-Oct-13,1-Oct-15,2-Oct-13,2321237
,,,Intersnack Poland Sp. z o.o.,"""Nowe podstawy budowania przewagi konkurencyjnej firmy Intersnack Poland Sp. z o.o.""",2-Nov-13,1-May-15,28-Oct-13,1562403.2
,,,INTRAFON Sp. z o.o.,Szkolenia z zakresu aplikacyjnego systemu bazodanowego SAP ERP,2-Jan-14,1-Jan-16,1-Jan-14,2925048
,,,Invictus Sp. z o.o. O_rodek Konsultingowo Szkoleniowy,Kurs na rozwój - doskonalenie strategicznych kompetencji pracowników firmy _agiel S.A.,17-Mar-13,16-Sep-14,12-Mar-13,2426247.4
,,,Inwestel Spó_ka z ograniczon_ odpowiedzialno_ci_,Rozwój kapita_u ludzkiego w przedsi_biorstwach bran_y mi_snej,2-Feb-14,1-Jun-15,3-Feb-14,941000.8
,,,ITS Education Sp. z o.o.,Presspublica Sp. z o.o. - kwalikacje kadry kluczem do sukcesu,2-Oct-13,1-Oct-15,2-Oct-13,1184915.38
,,,Jeronimo Martins Dystrybucja S.A.,Rozwój kwalifikacji pracowników sieci Biedronka w zakresie zasad systemu HACCP w dystrybucji _ywno_ci,6-Jan-13,31-Dec-13,24-Dec-12,1826240
,,,KDK Info Sp. z o.o.,Skuteczne zarz_dzanie projektami wed_ug metody PMI,2-Oct-13,1-Apr-15,2-Oct-13,1104900.38
,,,Kdk Info Sp. z o.o.,„Wzrost kompetencji i umiej_tno_ci pracowników Nestle Waters Polska S.A.”,16-Dec-12,15-Dec-14,16-Dec-12,1076580.64
,,,,Rozwój kompetencji i certyfikacji z zarz_dzania projektami w oparciu o metod_ PMI,3-Jan-13,1-Jan-15,13-Dec-12,2307671.23
,,,KEREL Adam Smeja,"""Umiej_tno_ci nowoczesnego APTEKARZA w celu zwi_kszenia efektywno_ci przedsi_biorstw bran_y farmaceutycznej""",16-Oct-13,16-Apr-14,16-Oct-13,485106
,,,KISAN,Profesjonalizacja i konkurencyjno__ ? szkolenia specjalistyczne dla instalatorów i projektantów instalacji wodoci_gowych i grzewczych.,2-Nov-13,1-Oct-15,28-Oct-13,1332100
,,,Kompania Piwowarska S.A.,Kompleksowy program rozwoju kadr Kompanii Piwowarskiej,2-Nov-13,1-Nov-15,28-Oct-13,8203359
,,,KOMPUTRONIK S.A.,Program podnoszenia kwalifikacji pracowników w Grupie Komputronik,2-Oct-13,1-Oct-15,2-Oct-13,2809222.53
,,,Koncept Agnieszka Papu_,Solidna firma-podniesienie kompetencji pracowników kadr i ksi_gowo_ci,2-Oct-13,1-Feb-15,2-Oct-13,564710.44
,,,Konfederacja Pracodawców Polskich,Obserwatorium Regionalnych Rynków Pracy,2-Mar-13,1-Mar-15,27-Feb-13,1977045.28
,,,Korporacja SEDPOL Sp. z o.o.,Certyfikator w zakresie sporz_dzania _wiadectw charakterystyki energetycznej budynków,2-Jan-13,1-Jan-15,31-Dec-12,2523676.1
,,,Krajowa Izba Gospodarcza,Rozwój kompetencji pracowników Asseco Poland S.A.,2-Jan-14,1-Apr-15,16-Jan-14,4499750.45
,,,,AKADEMIA PZU S.A. i PZU _YCIE S.A.,2-Feb-14,1-Nov-14,9-Feb-14,4389853.65
,,,,Kompetencje konieczno_ci_ nowoczesnego agenta ubezpieczeniowego,16-Oct-13,15-Dec-14,16-Oct-13,3904809.5
,,,Krajowa Izba Gospodarcza Elektroniki i Telekomunikacji,Wzrost konkurencyjno_ci przedsi_biorstw bran_y elektronicznej,2-Jan-13,1-Jan-15,31-Dec-12,19247601.76
,,,KSK Bezpiecze_stwo Sp. z o. o.,Administrator Bezpiecze_stwa Informacji,2-Jan-13,1-Jan-14,31-Dec-12,874988
,,,,Audytor Bezpiecze_stwa Teleinformatycznego,2-Jan-13,1-Oct-13,31-Dec-12,648266.4
,,,Kurt Scheller Academy spó_ka z ograniczon_ odpowiedzialno_ci_,Haute Cuisine- kurs wysokich technik kulinarnych dla ma_ych i _rednich przedsi_biorstw,2-Nov-13,1-May-15,2-Nov-13,885387.51
,,,Lek Polska Sp. z o.o.,Wzrost kompetencji pracowników firmy Lek drog_ do efektywnej organizacji,2-Nov-13,1-Nov-15,28-Oct-13,2980899.84
,,,Lyreco Polska S.A.,"""Rozwój i wiedza zwi_kszaj_ce sukces Lyreco Polska""",2-Oct-13,1-Oct-15,1-Oct-13,4569425
,,,Macrologic SA,Nowoczesne technologie informatyczne na us_ugach menad_era,2-Sep-13,1-Sep-15,4-Dec-13,5084140.92
,,,Makarony Polskie SA,Kwalifikacje personelu kluczem do rozwoju Grupy Makarony Polskie,2-Jan-13,1-Sep-14,31-Dec-12,3875945.81
,,,Makro Cash and Carry Polska S.A.,Ogólnopolski projekt szkoleniowy dla mikro i ma_ych przedsi_biorców oraz ich pracowników - Idealny Biznes,2-Dec-13,1-Dec-15,1-Dec-13,4556410.25
,,,Ma_opolski O_rodek Ruchu Drogowego w Krakowie,JAZDA PO KWALIFIKACJE - program podnoszenia kwalifikacji pracowników firm z Polski po_udniowej,2-Jan-13,1-Mar-14,31-Dec-12,4378800
,,,Management Training & Development Center sp. zo.o.,Europejska Akademia Zarz_dzania Projektami,2-Jan-13,31-Aug-14,31-Dec-12,5193582.3
,,,,Wykwalifikowana kadra podstaw_ rozwoju przedsi_biorstw z Grupy Sygnity,2-Jan-13,1-Apr-14,31-Dec-12,4471224.83
,,,Mazowiecka Spó_ka Gazownictwa sp. z o.o.,Kompetencje gwarancj_ bezpiecze_stwa dystrybucji gazu ziemnego - rozwój potencja_u pracowników MSG sp. z o.o. w celu wdro_enia zintegrowanego systemu zarz_dzania,2-Oct-13,2-Jan-15,30-Sep-13,929800
,,,"Mazowiecka Szko_a Ultrasonografii s.c.; Agnieszka S_odka, Gra_yna Juchnowicz-Bierbasz",Akademia USG,2-Jan-14,1-Jan-16,1-Jan-14,1796039
,,,Mazowieckie Centrum Szkole_ Sp. z o.o.,Rozwój kadr Grupy Forte kluczem do wzrostu konkurencyjno_ci i efektywno_ci firmy,2-Dec-13,1-Dec-15,1-Dec-13,2866041.38
,,,,"Wsparcie rozwoju kadr przedsi_biorstw poprzez szkolenia z zakresu sprzeda_y, negocjacji i obs_ugi klienta",2-Jan-13,1-Jul-14,31-Dec-12,2605540.28
,,,,Podnoszenie umiej_tno_ci zarz_dczych pracowników kluczem do rozwoju przedsi_biorstw,2-Jan-13,2-Jun-14,31-Dec-12,2325783
,,,,Podnoszenie kwalifikacji pracowników przedsi_biorstw w zakresie finansów i prawa,2-Jan-13,1-Jul-14,31-Dec-12,2116422.28
,,,McHayes&StewardGroup,Podniesienie poziomu wiedzy i umiej_tno_ci pracowników ACNielsen w obszarach wymagaj_cych wsparcia,2-Oct-13,1-Dec-14,2-Oct-13,840664.45
,,,MDDP spó_ka z ograniczon_ odpowiedzialno_ci_ Akademia Biznesu Sp. K.,"""Akademia RACHUNKOWO_CI dla pracowników dzia_ów finansowo-ksi_gowych""",2-Oct-13,1-Oct-14,2-Oct-13,1305300
,,,MEDIATOR O_rodek Szkole_ i Doradztwa Gospodarczego,IMPEL - budowanie organizacji zorientowanej na klienta,2-Jan-13,1-Jan-15,31-Dec-12,5214422.08
,,,Medicover Sp. z o.o.,Zintegrowany program kompleksowego rozwoju kompetencji wszystkich grup pracowników i wspó_pracowników regionalnych centrów Medicover,2-Jan-13,1-Jan-15,30-Dec-12,6886168.02
,,,"MEDICUS Aparatura i Instrumenty Medyczne  Maciej Mazur, Marek Mazur Sp. Jawna",Akademia Umiej_tnosci MEDICUS,3-Nov-13,1-Apr-15,3-Nov-13,1304211.26
